Date,Close,Type
2020-12-22,11034.0341796875,History
2020-12-23,10784.5693359375,History
2020-12-24,10477.5361328125,History
2020-12-25,10727.0,History
2020-12-28,10669.431640625,History
2020-12-29,10631.052734375,History
2020-12-30,10669.431640625,History
2020-12-31,10784.5693359375,History
2021-01-04,10995.6552734375,History
2021-01-05,11264.3095703125,History
2021-01-06,11475.3955078125,History
2021-01-07,11475.3955078125,History
2021-01-08,11590.533203125,History
2021-01-11,11648.103515625,History
2021-01-12,11552.154296875,History
2021-01-13,11456.2060546875,History
2021-01-14,11456.2060546875,History
2021-01-15,11609.7236328125,History
2021-01-18,11494.5859375,History
2021-01-19,10707.8095703125,History
2021-01-20,10861.3271484375,History
2021-01-21,11110.7939453125,History
2021-01-22,10995.6552734375,History
2021-01-25,10784.5693359375,History
2021-01-26,10669.431640625,History
2021-01-27,10554.2939453125,History
2021-01-28,9825.0888671875,History
2021-01-29,10285.638671875,History
2021-02-01,10228.0703125,History
2021-02-02,10496.724609375,History
2021-02-03,10784.5693359375,History
2021-02-04,10822.9482421875,History
2021-02-05,10938.0859375,History
2021-02-08,10554.2939453125,History
2021-02-09,10957.2763671875,History
2021-02-17,11283.4990234375,History
2021-02-18,11187.5517578125,History
2021-02-19,11935.947265625,History
2021-02-22,12127.8427734375,History
2021-02-23,12166.22265625,History
2021-02-24,11974.326171875,History
2021-02-25,12434.876953125,History
2021-02-26,12684.341796875,History
2021-03-01,12761.1005859375,History
2021-03-02,12665.1533203125,History
2021-03-03,12761.1005859375,History
2021-03-04,12434.876953125,History
2021-03-05,12454.06640625,History
2021-03-08,12204.6015625,History
2021-03-09,12300.548828125,History
2021-03-10,12569.2041015625,History
2021-03-11,12665.1533203125,History
2021-03-12,12645.962890625,History
2021-03-15,12857.048828125,History
2021-03-16,12837.8583984375,History
2021-03-17,12857.048828125,History
2021-03-18,13029.755859375,History
2021-03-19,12972.1865234375,History
2021-03-22,12818.669921875,History
2021-03-23,12665.1533203125,History
2021-03-24,12454.06640625,History
2021-03-25,12300.548828125,History
2021-03-26,12454.06640625,History
2021-03-29,12665.1533203125,History
2021-03-30,12780.291015625,History
2021-03-31,12780.291015625,History
2021-04-01,12991.3759765625,History
2021-04-02,13298.41015625,History
2021-04-05,13336.7900390625,History
2021-04-06,13336.7900390625,History
2021-04-07,13202.4619140625,History
2021-04-08,13202.4619140625,History
2021-04-09,13202.4619140625,History
2021-04-12,13490.306640625,History
2021-04-13,13279.2197265625,History
2021-04-14,13279.2197265625,History
2021-04-15,12991.3759765625,History
2021-04-16,12703.5322265625,History
2021-04-19,12933.80859375,History
2021-04-20,12895.4287109375,History
2021-04-22,12473.2568359375,History
2021-04-23,12818.669921875,History
2021-04-26,12780.291015625,History
2021-04-27,13048.9443359375,History
2021-04-28,12972.1865234375,History
2021-04-29,13298.41015625,History
2021-05-04,13221.65234375,History
2021-05-05,13547.875,History
2021-05-06,13355.9794921875,History
2021-05-07,13509.49609375,History
2021-05-10,13893.2890625,History
2021-05-11,13739.771484375,History
2021-05-12,13874.099609375,History
2021-05-13,13893.2890625,History
2021-05-14,13989.2373046875,History
2021-05-17,14027.6162109375,History
2021-05-18,13912.478515625,History
2021-05-19,14046.8056640625,History
2021-05-20,14353.83984375,History
2021-05-21,14392.21875,History
2021-05-24,14392.21875,History
2021-05-25,14584.115234375,History
2021-05-26,14756.8212890625,History
2021-05-27,14660.873046875,History
2021-05-28,14929.529296875,History
2021-05-31,15889.009765625,History
2021-06-01,16157.6640625,History
2021-06-02,17117.146484375,History
2021-06-03,17616.076171875,History
2021-06-04,17385.80078125,History
2021-06-07,16503.078125,History
2021-06-08,15428.458984375,History
2021-06-09,16291.9912109375,History
2021-06-10,16359.1552734375,History
2021-06-11,16623.013671875,History
2021-06-14,16359.1552734375,History
2021-06-15,16958.83203125,History
2021-06-16,16647.0,History
2021-06-17,16742.947265625,History
2021-06-18,16790.923828125,History
2021-06-21,16670.986328125,History
2021-06-22,17102.75390625,History
2021-06-23,17174.71484375,History
2021-06-24,17366.611328125,History
2021-06-25,17438.572265625,History
2021-06-28,17606.48046875,History
2021-06-29,17486.546875,History
2021-06-30,17126.740234375,History
2021-07-01,17246.67578125,History
2021-07-02,17318.634765625,History
2021-07-05,18206.15625,History
2021-07-06,17270.662109375,History
2021-07-07,17534.521484375,History
