Date,Close,Type
2020-12-22,27017.98046875,History
2020-12-23,26873.80859375,History
2020-12-24,26239.44921875,History
2020-12-25,26873.80859375,History
2020-12-28,27363.99609375,History
2020-12-29,27883.017578125,History
2020-12-30,27710.009765625,History
2020-12-31,27623.505859375,History
2021-01-04,27825.34765625,History
2021-01-05,27623.505859375,History
2021-01-06,28142.529296875,History
2021-01-07,28200.197265625,History
2021-01-08,27969.521484375,History
2021-01-11,27825.34765625,History
2021-01-12,28113.6953125,History
2021-01-13,27940.685546875,History
2021-01-14,28171.36328125,History
2021-01-15,28171.36328125,History
2021-01-18,28056.0234375,History
2021-01-19,26095.275390625,History
2021-01-20,26239.44921875,History
2021-01-21,26816.140625,History
2021-01-22,26095.275390625,History
2021-01-25,25720.42578125,History
2021-01-26,24538.208984375,History
2021-01-27,23817.345703125,History
2021-01-28,22173.775390625,History
2021-01-29,23009.9765625,History
2021-02-01,22548.625,History
2021-02-02,22692.796875,History
2021-02-03,23846.1796875,History
2021-02-04,23932.68359375,History
2021-02-05,24105.689453125,History
2021-02-08,23125.314453125,History
2021-02-09,23529.0,History
2021-02-17,24278.69921875,History
2021-02-18,25028.3984375,History
2021-02-19,25432.080078125,History
2021-02-22,25230.23828125,History
2021-02-23,25374.412109375,History
2021-02-24,24826.5546875,History
2021-02-25,24768.88671875,History
2021-02-26,25143.736328125,History
2021-03-01,25432.080078125,History
2021-03-02,25403.244140625,History
2021-03-03,25259.07421875,History
2021-03-04,24653.548828125,History
2021-03-05,24451.705078125,History
2021-03-08,24480.5390625,History
2021-03-09,24134.525390625,History
2021-03-10,24221.029296875,History
2021-03-11,24970.7265625,History
2021-03-12,24999.5625,History
2021-03-15,24797.71875,History
2021-03-16,24451.705078125,History
2021-03-17,24970.7265625,History
2021-03-18,25951.103515625,History
2021-03-19,25951.103515625,History
2021-03-22,25749.26171875,History
2021-03-23,25201.404296875,History
2021-03-24,24307.533203125,History
2021-03-25,24365.201171875,History
2021-03-26,24278.69921875,History
2021-03-29,24538.208984375,History
2021-03-30,24711.216796875,History
2021-03-31,24768.88671875,History
2021-04-01,25345.576171875,History
2021-04-02,25951.103515625,History
2021-04-05,26268.28125,History
2021-04-06,26383.62109375,History
2021-04-07,26268.28125,History
2021-04-08,25835.763671875,History
2021-04-09,25547.41796875,History
2021-04-12,25806.9296875,History
2021-04-13,25172.568359375,History
2021-04-14,25374.412109375,History
2021-04-15,24826.5546875,History
2021-04-16,24221.029296875,History
2021-04-19,24797.71875,History
2021-04-20,24913.05859375,History
2021-04-22,23644.337890625,History
2021-04-23,24221.029296875,History
2021-04-26,23355.9921875,History
2021-04-27,23269.48828125,History
2021-04-28,23413.662109375,History
2021-04-29,23644.337890625,History
2021-05-04,23817.345703125,History
2021-05-05,24163.361328125,History
2021-05-06,23788.51171875,History
2021-05-07,23442.49609375,History
2021-05-10,23875.013671875,History
2021-05-11,24278.69921875,History
2021-05-12,24595.87890625,History
2021-05-13,24567.04296875,History
2021-05-14,24422.87109375,History
2021-05-17,24105.689453125,History
2021-05-18,23586.66796875,History
2021-05-19,23586.66796875,History
2021-05-20,24134.525390625,History
2021-05-21,25806.9296875,History
2021-05-24,26527.79296875,History
2021-05-25,26931.478515625,History
2021-05-26,26902.642578125,History
2021-05-27,26181.779296875,History
2021-05-28,27190.98828125,History
2021-05-31,28084.859375,History
2021-06-01,27681.177734375,History
2021-06-02,27335.16015625,History
2021-06-03,28142.529296875,History
2021-06-04,28257.8671875,History
2021-06-07,26989.146484375,History
2021-06-08,25835.763671875,History
2021-06-09,26210.61328125,History
2021-06-10,25316.7421875,History
2021-06-11,26066.44140625,History
2021-06-14,25893.43359375,History
2021-06-15,25893.43359375,History
2021-06-16,26124.109375,History
2021-06-17,26470.125,History
2021-06-18,26614.296875,History
2021-06-21,25951.103515625,History
2021-06-22,25951.103515625,History
2021-06-23,26181.779296875,History
2021-06-24,26066.44140625,History
2021-06-25,26268.28125,History
2021-06-28,27046.81640625,History
2021-06-29,27046.81640625,History
2021-06-30,27248.658203125,History
2021-07-01,27277.4921875,History
2021-07-02,27133.318359375,History
2021-07-05,26902.642578125,History
2021-07-06,25374.412109375,History
2021-07-07,26239.44921875,History
2021-07-08,26412.455078125,History
2021-07-09,25893.43359375,History
2021-07-12,24221.029296875,History
2021-07-13,24451.705078125,History
2021-07-14,24567.04296875,History
2021-07-15,24624.712890625,History
2021-07-16,24509.375,History
2021-07-19,22865.8046875,History
2021-07-20,23644.337890625,History
2021-07-21,23471.330078125,History
2021-07-22,23644.337890625,History
2021-07-23,23182.984375,History
2021-07-26,23067.646484375,History
2021-07-27,23182.984375,History
2021-07-28,23355.9921875,History
2021-07-29,23644.337890625,History
2021-07-30,23702.0078125,History
2021-08-02,24538.208984375,History
