Date,Close,Type
2020-12-21,8373.232421875,History
2020-12-22,8255.7724609375,History
2020-12-23,8054.4130859375,History
2020-12-24,7785.93212890625,History
2020-12-25,8054.4130859375,History
2020-12-28,8004.07275390625,History
2020-12-29,7936.95263671875,History
2020-12-30,7920.17236328125,History
2020-12-31,7970.5126953125,History
2021-01-04,8087.97314453125,History
2021-01-05,8306.1123046875,History
2021-01-06,8608.1533203125,History
2021-01-07,8994.09375,History
2021-01-08,9094.7744140625,History
2021-01-11,9010.8740234375,History
2021-01-12,8977.314453125,History
2021-01-13,9010.8740234375,History
2021-01-14,8994.09375,History
2021-01-15,9363.2548828125,History
2021-01-18,9145.1142578125,History
2021-01-19,8507.47265625,History
2021-01-20,8557.8134765625,History
2021-01-21,8658.4931640625,History
2021-01-22,8759.173828125,History
2021-01-25,8608.1533203125,History
2021-01-26,8222.2119140625,History
2021-01-27,7819.4921875,History
2021-01-28,7282.53125,History
2021-01-29,7483.8916015625,History
2021-02-01,7450.33154296875,History
2021-02-02,7785.93212890625,History
2021-02-03,8054.4130859375,History
2021-02-04,7903.392578125,History
2021-02-05,8087.97314453125,History
2021-02-08,7869.83251953125,History
2021-02-09,8087.97314453125,History
2021-02-17,8524.2529296875,History
2021-02-18,8557.8134765625,History
2021-02-19,8574.5927734375,History
2021-02-22,8658.4931640625,History
2021-02-23,8708.8330078125,History
2021-02-24,8541.033203125,History
2021-02-25,8557.8134765625,History
2021-02-26,8440.3525390625,History
2021-03-01,8658.4931640625,History
2021-03-02,8960.5341796875,History
2021-03-03,9044.4345703125,History
2021-03-04,8792.7333984375,History
2021-03-05,8675.2734375,History
2021-03-08,8708.8330078125,History
2021-03-09,8708.8330078125,History
2021-03-10,8759.173828125,History
2021-03-11,8859.853515625,History
2021-03-12,8943.75390625,History
2021-03-15,8943.75390625,History
2021-03-16,8994.09375,History
2021-03-17,9229.0146484375,History
2021-03-18,9229.0146484375,History
2021-03-19,9111.5546875,History
2021-03-22,9044.4345703125,History
2021-03-23,8893.4140625,History
2021-03-24,8557.8134765625,History
2021-03-25,8591.373046875,History
2021-03-26,8641.712890625,History
2021-03-29,8725.61328125,History
2021-03-30,8792.7333984375,History
2021-03-31,8859.853515625,History
2021-04-01,8994.09375,History
2021-04-02,9145.1142578125,History
2021-04-05,9279.3544921875,History
2021-04-06,9262.57421875,History
