Date,Close,Type
2020-12-22,13364.681640625,History
2020-12-23,13135.833984375,History
2020-12-24,12792.5625,History
2020-12-25,13524.875,History
2020-12-28,13593.529296875,History
2020-12-29,13616.4140625,History
2020-12-30,13685.068359375,History
2020-12-31,14417.37890625,History
2021-01-04,15103.9208984375,History
2021-01-05,15126.8056640625,History
2021-01-06,15195.4599609375,History
2021-01-07,15836.232421875,History
2021-01-08,16339.6962890625,History
2021-01-11,16133.734375,History
2021-01-12,16065.080078125,History
2021-01-13,16087.9638671875,History
2021-01-14,16362.58203125,History
2021-01-15,16866.044921875,History
2021-01-18,16568.54296875,History
2021-01-19,15515.845703125,History
2021-01-20,15790.462890625,History
2021-01-21,16568.54296875,History
2021-01-22,16614.314453125,History
2021-01-25,16385.466796875,History
2021-01-26,16019.3095703125,History
2021-01-27,15332.767578125,History
2021-01-28,14280.0712890625,History
2021-01-29,14646.2255859375,History
2021-02-01,14737.7646484375,History
2021-02-02,15561.6162109375,History
2021-02-03,16019.3095703125,History
2021-02-04,16019.3095703125,History
2021-02-05,16614.314453125,History
2021-02-08,16019.3095703125,History
2021-02-09,16477.00390625,History
2021-02-17,17575.47265625,History
2021-02-18,17804.318359375,History
2021-02-19,17712.779296875,History
2021-02-22,17667.009765625,History
2021-02-23,18216.244140625,History
2021-02-24,17895.857421875,History
2021-02-25,17895.857421875,History
2021-02-26,17964.51171875,History
2021-03-01,18399.322265625,History
2021-03-02,18445.091796875,History
2021-03-03,18467.9765625,History
2021-03-04,17872.974609375,History
2021-03-05,17941.626953125,History
2021-03-08,17781.43359375,History
2021-03-09,17827.203125,History
2021-03-10,17987.396484375,History
2021-03-11,18376.4375,History
2021-03-12,18330.66796875,History
2021-03-15,18353.552734375,History
2021-03-16,18239.12890625,History
2021-03-17,18445.091796875,History
2021-03-18,19200.287109375,History
2021-03-19,19223.171875,History
2021-03-22,18902.78515625,History
2021-03-23,18513.74609375,History
2021-03-24,17987.396484375,History
2021-03-25,18010.28125,History
2021-03-26,18033.166015625,History
2021-03-29,18101.8203125,History
2021-03-30,18330.66796875,History
2021-03-31,18490.859375,History
2021-04-01,18765.478515625,History
2021-04-02,18879.90234375,History
2021-04-05,18994.32421875,History
2021-04-06,19314.7109375,History
2021-04-07,19314.7109375,History
2021-04-08,19200.287109375,History
2021-04-09,19040.09375,History
2021-04-12,19291.826171875,History
2021-04-13,19040.09375,History
2021-04-14,19131.634765625,History
2021-04-15,18719.70703125,History
2021-04-16,18513.74609375,History
2021-04-19,19040.09375,History
2021-04-20,18834.1328125,History
2021-04-22,18170.474609375,History
2021-04-23,18536.630859375,History
2021-04-26,18056.05078125,History
2021-04-27,18078.935546875,History
2021-04-28,18284.8984375,History
2021-04-29,18765.478515625,History
2021-05-04,19863.943359375,History
2021-05-05,21031.06640625,History
2021-05-06,21557.4140625,History
2021-05-07,21534.529296875,History
2021-05-10,22015.109375,History
2021-05-11,21511.64453125,History
2021-05-12,22541.45703125,History
2021-05-13,21969.33984375,History
2021-05-14,22266.841796875,History
2021-05-17,21900.685546875,History
2021-05-18,22129.53125,History
2021-05-19,22930.498046875,History
2021-05-20,22976.267578125,History
2021-05-21,23250.884765625,History
2021-05-24,23296.654296875,History
2021-05-25,23617.0390625,History
2021-05-26,24166.2734375,History
2021-05-27,23525.501953125,History
2021-05-28,24257.8125,History
2021-05-31,24578.197265625,History
2021-06-01,24303.58203125,History
2021-06-02,24166.2734375,History
2021-06-03,25081.662109375,History
2021-06-04,24990.123046875,History
2021-06-07,23983.1953125,History
2021-06-08,22655.8828125,History
2021-06-09,23250.884765625,History
2021-06-10,22930.498046875,History
2021-06-11,24074.734375,History
2021-06-14,24120.50390625,History
2021-06-15,23937.42578125,History
2021-06-16,23205.11328125,History
2021-06-17,22976.267578125,History
2021-06-18,23342.423828125,History
2021-06-21,23067.806640625,History
2021-06-22,23296.654296875,History
2021-06-23,23388.19140625,History
2021-06-24,23296.654296875,History
2021-06-25,23617.0390625,History
2021-06-28,24532.4296875,History
2021-06-29,24486.66015625,History
2021-06-30,24120.50390625,History
2021-07-01,24395.119140625,History
2021-07-02,24852.81640625,History
2021-07-05,26546.28515625,History
2021-07-06,24715.505859375,History
2021-07-07,25905.51171875,History
2021-07-08,25905.51171875,History
2021-07-09,25905.51171875,History
2021-07-12,24486.66015625,History
2021-07-13,24669.73828125,History
2021-07-14,23342.423828125,History
2021-07-15,23845.888671875,History
2021-07-16,23617.0390625,History
2021-07-19,21969.33984375,History
2021-07-20,22655.8828125,History
2021-07-21,23022.037109375,History
2021-07-22,23388.19140625,History
2021-07-23,22655.8828125,History
2021-07-26,22427.033203125,History
2021-07-27,22770.306640625,History
2021-07-28,22747.419921875,History
2021-07-29,23159.345703125,History
2021-07-30,23388.19140625,History
2021-08-02,23250.884765625,History
2021-08-03,23708.578125,History
2021-08-04,23800.1171875,History
2021-08-05,24028.966796875,History
2021-08-06,23708.578125,History
2021-08-09,24028.966796875,History
2021-08-10,23937.42578125,History
2021-08-11,23937.42578125,History
2021-08-12,23800.1171875,History
2021-08-13,23891.65625,History
2021-08-16,24715.505859375,History
2021-08-17,24395.119140625,History
2021-08-18,24166.2734375,History
2021-08-19,24257.8125,History
2021-08-20,23113.576171875,History
2021-08-23,22312.609375,History
2021-08-24,22427.033203125,History
2021-08-25,22495.6875,History
2021-08-26,22106.6484375,History
2021-08-27,21992.224609375,History
2021-08-30,22518.57421875,History
2021-08-31,22198.185546875,History
2021-09-01,22106.6484375,History
2021-09-06,22404.150390625,History
2021-09-07,22724.53515625,History
2021-09-08,22335.49609375,History
2021-09-09,22564.341796875,History
