Date,Actual,Prediction
2024-11-25,37230.4453125,36857.355
2024-11-26,37802.59375,36795.9
2024-11-27,37884.328125,36818.9
2024-11-28,37679.98828125,36904.688
2024-11-29,38211.26953125,37016.754
2024-12-02,38006.93359375,37179.86
2024-12-03,37639.12109375,37352.746
2024-12-04,36903.5078125,37497.926
2024-12-05,37598.25390625,37564.41
2024-12-06,38088.66796875,37622.906
2024-12-09,38170.40234375,37702.34
2024-12-10,38211.26953125,37795.99
2024-12-11,38088.66796875,37897.773
2024-12-12,38088.66796875,37990.973
2024-12-13,37925.19921875,38073.285
2024-12-16,38211.26953125,38131.07
2024-12-17,38088.66796875,38188.766
2024-12-18,38293.00390625,38232.29
2024-12-19,37966.0625,38278.285
2024-12-20,37966.0625,38298.75
2024-12-23,38175.3046875,38301.51
2024-12-24,37680.80859375,38305.777
2024-12-25,38224.7578125,38274.344
2024-12-26,38570.90625,38260.61
2024-12-27,38719.25390625,38281.3
2024-12-30,37829.15625,38334.348
2024-12-31,37136.859375,38343.77
2025-01-02,37779.70703125,38277.305
2025-01-03,37779.70703125,38208.816
2025-01-06,38373.10546875,38138.13
2025-01-07,39955.50390625,38112.465
2025-01-08,39906.05078125,38229.66
2025-01-09,39510.453125,38431.062
2025-01-10,38669.8046875,38654.85
2025-01-13,38867.60546875,38823.527
2025-01-14,38570.90625,38960.164
2025-01-15,38768.70703125,39041.23
2025-01-16,38966.50390625,39092.5
2025-01-17,39065.40625,39131.47
2025-01-20,39461.00390625,39165.035
2025-01-21,39362.10546875,39220.54
2025-01-22,39065.40625,39279.11
2025-01-23,39461.00390625,39316.023
2025-01-24,39559.90234375,39365.016
2025-02-03,38966.50390625,39423.707
2025-02-04,39213.75390625,39442.613
2025-02-05,39164.3046875,39452.957
2025-02-06,39362.10546875,39450.516
2025-02-07,40054.40234375,39453.223
2025-02-10,39906.05078125,39507.496
2025-02-11,40004.953125,39580.598
2025-02-12,39559.90234375,39671.324
2025-02-13,39559.90234375,39736.375
2025-02-14,40202.75,39781.43
2025-02-17,39757.703125,39854.566
2025-02-18,40054.40234375,39906.816
2025-02-19,40400.55078125,39965.27
2025-02-20,40450.0,40047.027
2025-02-21,40450.0,40141.793
2025-02-24,40647.80078125,40239.895
2025-02-25,40796.1484375,40348.46
2025-02-26,40746.69921875,40466.914
2025-02-27,40499.44921875,40580.42
2025-02-28,40499.44921875,40665.617
2025-03-03,40499.44921875,40726.38
2025-03-04,40351.1015625,40765.11
2025-03-05,40202.75,40774.395
2025-03-06,40351.1015625,40751.875
2025-03-07,40697.25,40719.168
2025-03-10,40944.5,40704.695
2025-03-11,40944.5,40719.613
2025-03-12,40450.0,40753.31
2025-03-13,39757.703125,40762.895
2025-03-14,39955.50390625,40707.734
2025-03-17,39906.05078125,40627.59
2025-03-18,39559.90234375,40528.29
2025-03-19,39362.10546875,40396.5
2025-03-20,39362.10546875,40237.527
2025-03-21,39015.953125,40069.867
2025-03-24,38669.8046875,39881.273
2025-03-25,39263.203125,39666.87
2025-03-26,39114.85546875,39491.676
