Date,Actual,Prediction
2024-11-25,20583.333984375,21042.254
2024-11-26,20875.0,20948.973
2024-11-27,20958.333984375,20891.445
2024-11-28,21083.333984375,20865.123
2024-11-29,21125.0,20868.791
2024-12-02,21166.666015625,20894.512
2024-12-03,21708.333984375,20936.053
2024-12-04,21583.333984375,21019.637
2024-12-05,22250.0,21116.623
2024-12-06,22375.0,21259.777
2024-12-09,22500.0,21430.914
2024-12-10,23333.333984375,21618.762
2024-12-11,23600.0,21859.613
2024-12-12,23900.0,22135.79
2024-12-13,23700.0,22438.299
2024-12-16,23750.0,22727.21
2024-12-17,23800.0,22994.783
2024-12-18,23800.0,23235.63
2024-12-19,23500.0,23444.504
2024-12-20,23400.0,23600.62
2024-12-23,23400.0,23707.572
2024-12-24,23400.0,23775.932
2024-12-25,23900.0,23814.514
2024-12-26,24150.0,23863.312
2024-12-27,24950.0,23929.71
2024-12-30,26650.0,24054.885
2024-12-31,25500.0,24318.896
2025-01-02,25100.0,24576.9
2025-01-03,24450.0,24796.885
2025-01-06,24500.0,24938.055
2025-01-07,24250.0,25024.959
2025-01-08,23300.0,25053.436
2025-01-09,22350.0,24980.469
2025-01-10,21600.0,24787.586
2025-01-13,21700.0,24482.402
2025-01-14,21150.0,24130.164
2025-01-15,21650.0,23730.385
2025-01-16,21700.0,23356.68
2025-01-17,22500.0,23021.969
2025-01-20,23000.0,22783.19
2025-01-21,22650.0,22650.074
2025-01-22,22000.0,22570.877
2025-01-23,22400.0,22492.861
2025-01-24,22650.0,22448.53
2025-02-03,22400.0,22442.842
2025-02-04,22600.0,22446.18
2025-02-05,22600.0,22469.373
2025-02-06,22950.0,22503.488
2025-02-07,22900.0,22565.373
2025-02-10,22600.0,22637.498
2025-02-11,22550.0,22693.611
2025-02-12,22550.0,22734.123
2025-02-13,22700.0,22762.047
2025-02-14,22850.0,22789.533
2025-02-17,22650.0,22824.076
2025-02-18,22700.0,22847.965
2025-02-19,22800.0,22867.693
2025-02-20,22850.0,22889.67
2025-02-21,23050.0,22914.652
2025-02-24,23450.0,22952.873
