Date,Actual,Prediction
2024-11-25,15584.5048828125,15193.693
2024-11-26,15682.1103515625,15180.851
2024-11-27,15682.1103515625,15185.086
2024-11-28,15617.0390625,15200.45
2024-11-29,15714.646484375,15218.706
2024-12-02,15714.646484375,15243.717
2024-12-03,15584.5048828125,15271.711
2024-12-04,15519.43359375,15292.605
2024-12-05,15974.9306640625,15304.025
2024-12-06,15844.7880859375,15335.14
2024-12-09,15877.32421875,15369.381
2024-12-10,15779.716796875,15406.097
2024-12-11,15812.2529296875,15436.654
2024-12-12,15812.2529296875,15463.414
2024-12-13,15779.716796875,15486.01
2024-12-16,15682.1103515625,15502.609
2024-12-17,15714.646484375,15508.588
2024-12-18,15747.1826171875,15509.149
2024-12-19,15519.43359375,15507.8545
2024-12-20,15617.0390625,15492.017
2024-12-23,15649.5751953125,15473.441
2024-12-24,15551.96875,15455.747
2024-12-25,15909.859375,15433.916
2024-12-26,16202.6787109375,15431.645
2024-12-27,16300.28515625,15459.114
2024-12-30,16137.6083984375,15510.313
2024-12-31,16332.8203125,15564.948
2025-01-02,16397.892578125,15630.48
2025-01-03,16072.537109375,15702.93
2025-01-06,15877.32421875,15756.635
2025-01-07,16201.052734375,15783.746
2025-01-08,16163.63671875,15810.615
2025-01-09,16088.8046875,15832.859
2025-01-10,15826.89453125,15846.455
2025-01-13,16088.8046875,15838.235
2025-01-14,15939.140625,15831.638
2025-01-15,15976.556640625,15817.127
2025-01-16,16013.97265625,15800.645
2025-01-17,16088.8046875,15785.853
2025-01-20,16350.7158203125,15777.343
2025-01-21,16350.7158203125,15788.741
2025-01-22,16313.30078125,15812.377
2025-01-23,16612.625,15840.73
2025-01-24,16762.2890625,15888.234
2025-02-03,16500.37890625,15954.046
2025-02-04,16799.705078125,16012.7295
2025-02-05,16837.12109375,16081.349
2025-02-06,16911.953125,16154.187
2025-02-07,17024.19921875,16230.003
2025-02-10,17136.447265625,16309.894
2025-02-11,17211.279296875,16394.287
2025-02-12,16986.783203125,16480.998
2025-02-13,17136.447265625,16550.8
2025-02-14,17099.03125,16614.445
2025-02-17,16949.369140625,16667.586
2025-02-18,16986.783203125,16701.736
2025-02-19,17099.03125,16723.582
2025-02-20,17099.03125,16742.324
2025-02-21,17136.447265625,16757.568
2025-02-24,17211.279296875,16771.742
2025-02-25,17510.607421875,16788.652
2025-02-26,17360.943359375,16823.906
2025-02-27,17360.943359375,16859.852
2025-02-28,17211.279296875,16894.492
2025-03-03,17286.111328125,16917.227
2025-03-04,17510.607421875,16935.268
2025-03-05,17622.8515625,16962.1
2025-03-06,18034.427734375,16999.371
2025-03-07,18333.75390625,17065.678
2025-03-10,18333.75390625,17164.527
2025-03-11,18558.25,17278.916
2025-03-12,18408.5859375,17410.502
2025-03-13,18184.091796875,17536.459
2025-03-14,18184.091796875,17638.146
2025-03-17,18184.091796875,17717.941
2025-03-18,17884.763671875,17778.148
2025-03-19,17847.34765625,17803.648
2025-03-20,18146.67578125,17802.746
2025-03-21,18184.091796875,17801.97
2025-03-24,18258.921875,17802.713
2025-03-25,18109.259765625,17808.81
2025-03-26,17959.595703125,17808.975
2025-03-27,17884.763671875,17796.477
2025-03-28,17884.763671875,17771.932
2025-03-31,18034.427734375,17740.723
2025-04-01,18408.5859375,17715.643
2025-04-02,18221.505859375,17717.996
2025-04-03,16949.369140625,17726.54
2025-04-04,16799.705078125,17663.29
2025-04-08,15639.814453125,17549.668
2025-04-09,15452.7353515625,17339.775
2025-04-10,16500.37890625,17069.193
2025-04-11,17548.0234375,16835.816
2025-04-14,17548.0234375,16700.336
2025-04-15,17211.279296875,16636.633
2025-04-16,17136.447265625,16605.564
2025-04-17,17211.279296875,16594.71
2025-04-18,17398.359375,16602.543
2025-04-21,17173.86328125,16633.299
2025-04-22,17286.111328125,16664.045
2025-04-23,17510.607421875,16700.248
2025-04-24,17398.359375,16751.123
2025-04-25,17622.8515625,16801.928
2025-04-28,17735.099609375,16863.49
2025-04-29,17622.8515625,16935.0
2025-05-05,17622.8515625,17002.322
2025-05-06,17622.8515625,17063.297
2025-05-07,17398.359375,17116.508
2025-05-08,17622.8515625,17148.102
2025-05-09,17585.439453125,17177.213
2025-05-12,17809.931640625,17200.193
2025-05-13,18333.75390625,17231.227
2025-05-14,18333.75390625,17296.541
2025-05-15,18745.328125,17379.984
2025-05-16,18446.001953125,17495.45
2025-05-19,18408.5859375,17606.902
2025-05-20,18595.666015625,17707.652
2025-05-21,18745.328125,17806.424
2025-05-22,18446.001953125,17906.434
2025-05-23,18446.001953125,17983.094
2025-05-26,18558.25,18040.273
2025-05-27,18520.833984375,18087.576
2025-05-28,18408.5859375,18122.828
2025-05-29,18333.75390625,18141.21
2025-05-30,18221.505859375,18142.895
2025-06-02,18408.5859375,18126.584
2025-06-03,18483.41796875,18110.494
2025-06-04,18371.169921875,18099.338
2025-06-05,18258.921875,18085.168
2025-06-06,18071.84375,18063.307
2025-06-09,18146.67578125,18026.506
2025-06-10,18109.259765625,17986.629
2025-06-11,18146.67578125,17944.42
2025-06-12,18483.41796875,17905.371
2025-06-13,18595.666015625,17890.688
2025-06-16,18782.744140625,17899.062
2025-06-17,18707.912109375,17933.406
2025-06-18,18745.328125,17978.287
2025-06-19,18782.744140625,18030.064
2025-06-20,19306.56640625,18085.535
2025-06-23,19381.3984375,18171.479
2025-06-24,19381.3984375,18276.023
2025-06-25,19156.90234375,18386.889
2025-06-26,19381.3984375,18482.062
2025-06-27,19231.734375,18575.146
2025-06-30,19306.56640625,18651.648
2025-07-01,19456.228515625,18717.398
2025-07-02,19493.64453125,18780.803
2025-07-03,19418.814453125,18840.717
2025-07-04,19456.228515625,18890.139
2025-07-07,19755.5546875,18932.03
2025-07-08,19755.5546875,18984.215
2025-07-09,19905.21875,19039.316
2025-07-10,19792.970703125,19102.129
2025-07-11,19980.05078125,19159.146
2025-07-14,20054.8828125,19220.434
2025-07-15,19905.21875,19284.805
2025-07-16,19980.05078125,19338.1
2025-07-17,20017.466796875,19385.662
2025-07-18,20354.208984375,19428.455
2025-07-21,20167.12890625,19485.635
2025-07-22,20316.79296875,19536.7
2025-07-23,20503.873046875,19590.219
2025-07-24,21252.189453125,19652.959
2025-07-25,21289.60546875,19762.807
2025-07-28,21514.099609375,19897.783
2025-07-29,20092.296875,20055.227
2025-07-30,20503.873046875,20131.379
2025-07-31,20541.2890625,20177.736
2025-08-01,20316.79296875,20201.848
2025-08-04,20803.197265625,20195.664
2025-08-05,22225.0,20199.676
2025-08-06,22898.484375,20294.86
2025-08-07,23010.732421875,20482.062
2025-08-08,22861.068359375,20724.963
2025-08-11,23796.462890625,20981.506
2025-08-12,24245.455078125,21289.227
2025-08-13,25800.0,21636.893
2025-08-14,27600.0,22083.707
2025-08-15,28250.0,22674.414
2025-08-18,27800.0,23359.145
2025-08-19,28200.0,24035.336
2025-08-20,27800.0,24690.4
2025-08-21,28200.0,25264.459
2025-08-22,26900.0,25774.723
2025-08-25,26200.0,26128.957
2025-08-26,27550.0,26319.58
2025-08-27,27400.0,26475.064
2025-08-28,27200.0,26581.447
2025-08-29,27750.0,26636.434
2025-09-03,28450.0,26688.012
2025-09-04,28250.0,26773.752
2025-09-05,27400.0,26860.652
2025-09-08,26700.0,26891.115
2025-09-09,26650.0,26842.42
2025-09-10,26950.0,26743.322
2025-09-11,26700.0,26634.38
2025-09-12,26600.0,26507.906
2025-09-15,26850.0,26371.877
2025-09-16,27500.0,26253.027
2025-09-17,27000.0,26191.004
2025-09-18,26800.0,26136.56
2025-09-19,26650.0,26080.266
2025-09-22,26150.0,26017.607
2025-09-23,26350.0,25924.182
2025-09-24,26800.0,25830.203
2025-09-25,26550.0,25767.992
2025-09-26,26250.0,25713.246
2025-09-29,26150.0,25649.576
2025-09-30,26200.0,25579.07
2025-10-01,26400.0,25511.746
2025-10-02,26800.0,25462.639
2025-10-03,26550.0,25452.312
2025-10-06,27350.0,25451.508
2025-10-07,26850.0,25507.367
2025-10-08,26850.0,25563.605
2025-10-09,27350.0,25619.05
2025-10-10,27450.0,25701.35
2025-10-13,27350.0,25800.46
2025-10-14,27050.0,25898.303
2025-10-15,27250.0,25971.559
2025-10-16,27200.0,26037.646
2025-10-17,27100.0,26090.957
2025-10-20,25250.0,26126.611
2025-10-21,25300.0,26035.225
2025-10-22,25450.0,25876.242
2025-10-23,25200.0,25690.59
2025-10-24,24400.0,25482.078
2025-10-27,23800.0,25222.854
2025-10-28,24000.0,24912.137
2025-10-29,24350.0,24600.586
2025-10-30,23950.0,24327.613
2025-10-31,23600.0,24070.71
2025-11-03,23100.0,23820.346
2025-11-04,24000.0,23560.27
2025-11-05,23900.0,23366.453
2025-11-06,23700.0,23218.803
2025-11-07,23300.0,23099.346
2025-11-10,23100.0,22982.58
2025-11-11,23200.0,22864.203
2025-11-12,23700.0,22758.945
2025-11-13,23500.0,22699.18
2025-11-14,23500.0,22659.67
2025-11-17,23800.0,22637.346
2025-11-18,23700.0,22646.61
2025-11-19,23500.0,22669.594
2025-11-20,23350.0,22688.941
2025-11-21,23200.0,22696.613
2025-11-24,23150.0,22687.688
2025-11-25,22850.0,22665.932
