Date,Actual,Prediction
2025-06-13,44900.0,42682.414
2025-06-16,45500.0,43022.82
2025-06-17,46000.0,43421.023
2025-06-18,47200.0,43866.3
2025-06-19,47150.0,44384.055
2025-06-20,46600.0,44925.72
2025-06-23,46450.0,45433.977
2025-06-24,46500.0,45891.117
2025-06-25,46800.0,46296.03
2025-06-26,46800.0,46662.44
2025-06-27,46350.0,46986.047
2025-06-30,46700.0,47243.8
2025-07-01,46950.0,47464.105
2025-07-02,47550.0,47661.176
2025-07-03,46650.0,47863.95
2025-07-04,47050.0,48015.336
2025-07-07,47550.0,48147.785
2025-07-08,47650.0,48286.02
2025-07-09,47800.0,48426.375
2025-07-10,47650.0,48569.93
2025-07-11,47650.0,48701.82
2025-07-14,47950.0,48820.605
2025-07-15,47700.0,48940.617
2025-07-16,47800.0,49042.88
2025-07-17,47700.0,49134.395
2025-07-18,50200.0,49209.254
2025-07-21,49500.0,49397.125
2025-07-22,49500.0,49613.01
2025-07-23,48700.0,49841.562
2025-07-24,49000.0,50028.496
2025-07-25,48800.0,50196.12
2025-07-28,49100.0,50331.957
2025-07-29,48000.0,50455.863
2025-07-30,49300.0,50509.0
2025-07-31,49950.0,50580.895
2025-08-01,49400.0,50692.246
2025-08-04,50000.0,50796.395
2025-08-05,51700.0,50923.89
2025-08-06,54100.0,51147.65
2025-08-07,54600.0,51546.547
2025-08-08,54000.0,52069.17
2025-08-11,53700.0,52623.91
2025-08-12,54000.0,53163.84
2025-08-13,53900.0,53686.516
2025-08-14,55400.0,54168.508
2025-08-15,53900.0,54679.164
2025-08-18,52800.0,55105.797
2025-08-19,53200.0,55404.29
2025-08-20,54100.0,55626.12
2025-08-21,57800.0,55830.85
2025-08-22,55500.0,56203.19
2025-08-25,53000.0,56544.984
2025-08-26,55000.0,56730.305
2025-08-27,55600.0,56912.754
2025-08-28,54800.0,57109.156
2025-08-29,55600.0,57263.246
2025-09-03,56300.0,57426.324
2025-09-04,56400.0,57622.31
2025-09-05,56000.0,57835.51
2025-09-08,54000.0,58030.79
2025-09-09,54200.0,58103.344
2025-09-10,53900.0,58105.914
2025-09-11,55400.0,58043.64
2025-09-12,55400.0,58018.1
2025-09-15,56000.0,58013.523
2025-09-16,56100.0,58055.016
2025-09-17,56200.0,58129.953
2025-09-18,57000.0,58229.816
2025-09-19,55200.0,58383.754
2025-09-22,54800.0,58472.363
2025-09-23,55400.0,58497.96
2025-09-24,57000.0,58511.5
2025-09-25,56900.0,58596.406
2025-09-26,56500.0,58715.74
2025-09-29,56600.0,58833.684
2025-09-30,56900.0,58952.63
2025-10-01,59800.0,59082.363
2025-10-02,58700.0,59362.305
2025-10-03,57000.0,59666.508
2025-10-06,59800.0,59890.965
2025-10-07,58500.0,60201.89
2025-10-08,59900.0,60481.348
2025-10-09,60000.0,60803.902
2025-10-10,60400.0,61142.383
2025-10-13,61000.0,61497.42
2025-10-14,60600.0,61878.05
2025-10-15,60000.0,62237.21
2025-10-16,59500.0,62537.11
2025-10-17,59000.0,62760.28
2025-10-20,54900.0,62897.535
2025-10-21,55600.0,62759.867
2025-10-22,55400.0,62492.508
2025-10-23,55600.0,62134.016
2025-10-24,54500.0,61738.816
2025-10-27,54600.0,61277.3
2025-10-28,56800.0,60799.8
2025-10-29,57200.0,60445.64
2025-10-30,56900.0,60203.305
2025-10-31,55500.0,60031.49
2025-11-03,52300.0,59844.64
2025-11-04,53900.0,59494.176
2025-11-05,53500.0,59141.23
2025-11-06,51900.0,58773.492
2025-11-07,48350.0,58328.438
2025-11-10,48500.0,57669.22
2025-11-11,49650.0,56911.73
2025-11-12,50600.0,56177.36
2025-11-13,48700.0,55534.246
2025-11-14,48050.0,54878.938
2025-11-17,48900.0,54216.414
2025-11-18,49500.0,53623.324
2025-11-19,49500.0,53130.754
2025-11-20,49500.0,52726.043
2025-11-21,51300.0,52398.957
2025-11-24,50000.0,52231.66
2025-11-25,50000.0,52108.95
