Date,Actual,Prediction
2024-11-26,22942.2578125,22348.2
2024-11-27,22893.548828125,22379.604
2024-11-28,22990.96875,22427.592
2024-11-29,22990.96875,22490.508
2024-12-02,23039.677734375,22561.438
2024-12-03,23039.677734375,22637.463
2024-12-04,22844.83984375,22713.77
2024-12-05,23575.484375,22777.947
2024-12-06,23526.775390625,22864.684
2024-12-09,23526.775390625,22959.984
2024-12-10,23429.35546875,23058.28
2024-12-11,23526.775390625,23150.254
2024-12-12,23624.193359375,23238.41
2024-12-13,23721.61328125,23324.023
2024-12-16,23672.904296875,23408.299
2024-12-17,23575.484375,23485.416
2024-12-18,23575.484375,23549.541
2024-12-19,23137.09765625,23601.479
2024-12-20,23185.806640625,23621.451
2024-12-23,23283.2265625,23620.324
2024-12-24,23380.646484375,23607.518
2024-12-25,23819.033203125,23590.697
2024-12-26,23721.61328125,23591.87
2024-12-27,23965.162109375,23600.623
2024-12-30,23770.322265625,23626.81
2024-12-31,24013.87109375,23655.068
2025-01-02,23721.61328125,23695.809
2025-01-03,22990.96875,23729.4
2025-01-06,22990.96875,23722.928
2025-01-07,23039.677734375,23688.926
2025-01-08,23331.935546875,23637.338
2025-01-09,23331.935546875,23588.008
2025-01-10,22796.12890625,23541.535
2025-01-13,23185.806640625,23474.555
2025-01-14,22990.96875,23415.277
2025-01-15,23088.38671875,23353.65
2025-01-16,23234.517578125,23298.293
2025-01-17,23770.322265625,23256.463
2025-01-20,23770.322265625,23251.062
2025-01-21,23575.484375,23271.592
2025-01-22,23575.484375,23302.023
2025-01-23,23965.162109375,23339.264
2025-01-24,24111.291015625,23397.922
2025-02-03,23624.193359375,23475.43
2025-02-04,24013.87109375,23540.584
2025-02-05,24062.58203125,23613.602
2025-02-06,24549.677734375,23689.92
2025-02-07,25085.484375,23788.139
2025-02-10,25085.484375,23922.123
2025-02-11,25231.61328125,24075.662
2025-02-12,25036.775390625,24244.584
2025-02-13,25280.322265625,24408.025
2025-02-14,25329.033203125,24572.42
2025-02-17,25036.775390625,24731.494
2025-02-18,25182.904296875,24865.49
2025-02-19,25426.453125,24982.822
2025-02-20,25864.83984375,25093.299
2025-02-21,25816.12890625,25213.719
2025-02-24,25816.12890625,25332.457
2025-02-25,25718.7109375,25445.287
2025-02-26,25621.291015625,25544.143
2025-02-27,25572.58203125,25623.84
2025-02-28,25426.453125,25683.559
2025-03-03,25426.453125,25718.67
2025-03-04,26790.32421875,25734.252
2025-03-05,26595.484375,25799.697
2025-03-06,26985.162109375,25884.488
2025-03-07,27033.87109375,26000.465
2025-03-10,27082.58203125,26135.494
2025-03-11,27277.419921875,26281.078
2025-03-12,27131.291015625,26437.15
2025-03-13,26595.484375,26585.936
2025-03-14,26595.484375,26697.11
2025-03-17,26741.61328125,26777.256
2025-03-18,26692.904296875,26837.084
2025-03-19,26546.775390625,26875.701
2025-03-20,26741.61328125,26889.867
2025-03-21,26644.193359375,26895.223
2025-03-24,27277.419921875,26888.059
2025-03-25,27180.0,26903.078
2025-03-26,27277.419921875,26926.334
2025-03-27,27033.87109375,26960.244
2025-03-28,26839.033203125,26988.332
2025-03-31,26790.32421875,27002.42
2025-04-01,27228.7109375,27003.611
2025-04-02,27180.0,27016.236
2025-04-03,25280.322265625,27032.133
2025-04-04,25036.775390625,26957.902
