Date,Actual,Prediction
2025-06-12,18200.0,18209.018
2025-06-13,18150.0,18204.324
2025-06-16,18800.0,18209.086
2025-06-17,18800.0,18261.742
2025-06-18,18500.0,18339.467
2025-06-19,18500.0,18406.865
2025-06-20,18450.0,18462.594
2025-06-23,18400.0,18503.283
2025-06-24,18550.0,18528.086
2025-06-25,18400.0,18550.854
2025-06-26,18350.0,18560.527
2025-06-27,18500.0,18558.064
2025-06-30,18500.0,18558.049
2025-07-01,18450.0,18559.346
2025-07-02,18600.0,18557.982
2025-07-03,18650.0,18564.848
2025-07-04,18750.0,18579.334
2025-07-07,19300.0,18603.814
2025-07-08,19600.0,18668.467
2025-07-09,20050.0,18772.115
2025-07-10,20150.0,18921.027
2025-07-11,20150.0,19092.307
2025-07-14,21000.0,19263.531
2025-07-15,20750.0,19477.19
2025-07-16,20850.0,19682.531
2025-07-17,20900.0,19872.818
2025-07-18,21350.0,20041.32
2025-07-21,22300.0,20212.357
2025-07-22,22500.0,20434.004
2025-07-23,23350.0,20681.256
2025-07-24,23500.0,20981.205
2025-07-25,24050.0,21298.398
2025-07-28,25100.0,21637.334
2025-07-29,23600.0,22032.625
2025-07-30,25250.0,22326.188
2025-07-31,25800.0,22647.273
2025-08-01,25800.0,22993.482
2025-08-04,26400.0,23325.371
2025-08-05,26500.0,23661.822
2025-08-06,27100.0,23978.387
2025-08-07,28950.0,24297.043
2025-08-08,29550.0,24716.941
2025-08-11,29600.0,25202.164
2025-08-12,29600.0,25689.64
2025-08-13,28800.0,26137.557
2025-08-14,30800.0,26467.072
2025-08-15,31100.0,26836.67
2025-08-18,32000.0,27214.502
2025-08-19,34200.0,27627.205
2025-08-20,36550.0,28177.238
2025-08-21,38650.0,28922.787
2025-08-22,35950.0,29865.123
2025-08-25,33500.0,30656.697
2025-08-26,34300.0,31128.79
2025-08-27,33300.0,31428.613
2025-08-28,34000.0,31522.332
2025-08-29,35000.0,31530.97
2025-09-03,34500.0,31549.396
2025-09-04,34900.0,31530.488
2025-09-05,33500.0,31517.398
2025-09-08,31200.0,31407.91
2025-09-09,32400.0,31091.639
2025-09-10,32450.0,30763.217
2025-09-11,32250.0,30448.201
2025-09-12,31600.0,30150.059
2025-09-15,31550.0,29840.125
2025-09-16,31700.0,29545.531
2025-09-17,31000.0,29293.482
2025-09-18,30800.0,29038.02
2025-09-19,30400.0,28789.54
2025-09-22,29500.0,28538.062
2025-09-23,29900.0,28243.734
2025-09-24,31600.0,27977.826
2025-09-25,30950.0,27867.885
2025-09-26,30400.0,27813.082
2025-09-29,31100.0,27762.732
2025-09-30,31100.0,27771.432
2025-10-01,30900.0,27814.863
2025-10-02,30150.0,27863.846
2025-10-03,29500.0,27862.008
2025-10-06,31550.0,27787.002
2025-10-07,31050.0,27818.473
2025-10-08,31100.0,27871.9
2025-10-09,32100.0,27940.99
2025-10-10,32100.0,28084.648
2025-10-13,31700.0,28260.262
2025-10-14,32500.0,28414.531
2025-10-15,33700.0,28600.96
2025-10-16,33200.0,28873.334
2025-10-17,31950.0,29138.357
2025-10-20,29750.0,29292.691
2025-10-21,30350.0,29217.008
2025-10-22,30450.0,29054.4
2025-10-23,30000.0,28853.914
2025-10-24,29200.0,28612.777
2025-10-27,28300.0,28310.457
2025-10-28,29450.0,27933.424
2025-10-29,29850.0,27622.678
2025-10-30,29200.0,27400.607
2025-10-31,28700.0,27204.602
2025-11-03,27600.0,27008.32
2025-11-04,29500.0,26752.906
2025-11-05,29250.0,26617.793
2025-11-06,28500.0,26544.758
2025-11-07,27500.0,26465.863
2025-11-10,27500.0,26323.436
2025-11-11,27500.0,26157.014
2025-11-12,28000.0,25989.549
2025-11-13,27750.0,25870.344
2025-11-14,27800.0,25772.547
2025-11-17,28100.0,25701.19
2025-11-18,28800.0,25673.72
2025-11-19,28100.0,25724.582
2025-11-20,28550.0,25770.258
2025-11-21,28550.0,25843.586
2025-11-24,29000.0,25927.652
2025-11-25,28200.0,26043.768
