Date,Actual,Prediction
2024-11-26,20760.65625,20435.604
2024-11-27,20802.177734375,20470.88
2024-11-28,20885.220703125,20515.238
2024-11-29,20926.7421875,20568.582
2024-12-02,20885.220703125,20627.0
2024-12-03,20760.65625,20681.545
2024-12-04,20802.177734375,20720.785
2024-12-05,21341.955078125,20751.135
2024-12-06,21300.43359375,20814.055
2024-12-09,21175.869140625,20888.637
2024-12-10,21051.306640625,20956.256
2024-12-11,21092.828125,21005.912
2024-12-12,21009.78515625,21044.271
2024-12-13,20885.220703125,21066.371
2024-12-16,20885.220703125,21067.355
2024-12-17,20926.7421875,21055.086
2024-12-18,20885.220703125,21038.184
2024-12-19,20594.5703125,21016.047
2024-12-20,20594.5703125,20970.225
2024-12-23,20677.61328125,20913.291
2024-12-24,20760.65625,20859.334
2024-12-25,21134.349609375,20816.77
2024-12-26,21217.390625,20811.98
2024-12-27,21217.390625,20836.615
2024-12-30,21092.828125,20878.102
2024-12-31,21424.998046875,20918.316
2025-01-02,21258.912109375,20980.502
2025-01-03,20843.701171875,21039.098
2025-01-06,20594.5703125,21060.713
2025-01-07,20760.65625,21039.977
2025-01-08,20760.65625,21007.031
2025-01-09,20719.134765625,20967.922
2025-01-10,20511.529296875,20924.232
2025-01-13,20553.048828125,20865.057
2025-01-14,20470.0078125,20803.777
2025-01-15,20677.61328125,20738.977
2025-01-16,20636.091796875,20692.066
2025-01-17,20719.134765625,20655.975
2025-01-20,20760.65625,20635.553
2025-01-21,20719.134765625,20629.436
2025-01-22,20636.091796875,20629.709
2025-01-23,21009.78515625,20628.084
2025-01-24,21051.306640625,20653.654
2025-02-03,20843.701171875,20696.895
2025-02-04,20968.263671875,20732.844
2025-02-05,21092.828125,20771.805
2025-02-06,21175.869140625,20819.125
2025-02-07,21341.955078125,20874.436
2025-02-10,21424.998046875,20943.322
2025-02-11,21466.51953125,21021.969
2025-02-12,21300.43359375,21104.393
2025-02-13,21341.955078125,21171.01
2025-02-14,21383.4765625,21226.68
2025-02-17,21424.998046875,21274.572
2025-02-18,21383.4765625,21317.137
2025-02-19,21424.998046875,21350.0
2025-02-20,21549.560546875,21377.576
2025-02-21,21757.16796875,21409.072
