Actual,Prediction,Date
20594.5703125,21234.15,2024-12-19
20594.5703125,21205.242,2024-12-20
20677.61328125,21165.697,2024-12-23
20760.65625,21125.508,2024-12-24
21134.349609375,21091.254,2024-12-25
21217.390625,21083.4,2024-12-26
21217.390625,21097.229,2024-12-27
21092.828125,21124.947,2024-12-30
21424.998046875,21153.74,2024-12-31
21258.912109375,21200.783,2025-01-02
20843.701171875,21247.15,2025-01-03
20594.5703125,21268.084,2025-01-06
20760.65625,21258.217,2025-01-07
20760.65625,21237.982,2025-01-08
20719.134765625,21210.996,2025-01-09
20511.529296875,21178.594,2025-01-10
20553.048828125,21132.83,2025-01-13
20470.0078125,21083.482,2025-01-14
20677.61328125,21029.371,2025-01-15
20636.091796875,20986.66,2025-01-16
20719.134765625,20950.775,2025-01-17
20760.65625,20926.182,2025-01-20
20719.134765625,20912.504,2025-01-21
20636.091796875,20904.438,2025-01-22
21009.78515625,20896.059,2025-01-23
21051.306640625,20908.932,2025-01-24
20843.701171875,20936.465,2025-02-03
20968.263671875,20960.912,2025-02-04
21092.828125,20989.73,2025-02-05
21175.869140625,21026.434,2025-02-06
21341.955078125,21070.818,2025-02-07
21424.998046875,21127.213,2025-02-10
21466.51953125,21193.008,2025-02-11
21300.43359375,21263.957,2025-02-12
21341.955078125,21325.383,2025-02-13
21383.4765625,21380.209,2025-02-14
21424.998046875,21429.908,2025-02-17
21383.4765625,21475.824,2025-02-18
21424.998046875,21514.438,2025-02-19
21549.560546875,21548.742,2025-02-20
21757.16796875,21585.309,2025-02-21
21715.646484375,21632.855,2025-02-24
21591.08203125,21682.434,2025-02-25
21549.560546875,21724.174,2025-02-26
21674.125,21756.67,2025-02-27
21591.08203125,21788.412,2025-02-28
21591.08203125,21812.85,2025-03-03
21715.646484375,21831.516,2025-03-04
21715.646484375,21852.389,2025-03-05
21923.25390625,21873.254,2025-03-06
22130.859375,21904.88,2025-03-07
21964.775390625,21953.17,2025-03-10
21964.775390625,22000.215,2025-03-11
21840.2109375,22044.816,2025-03-12
21674.125,22078.41,2025-03-13
21591.08203125,22093.914,2025-03-14
21757.16796875,22092.307,2025-03-17
21840.2109375,22088.871,2025-03-18
21757.16796875,22088.39,2025-03-19
21798.689453125,22085.033,2025-03-20
21674.125,22082.709,2025-03-21
21881.732421875,22074.016,2025-03-24
21840.2109375,22073.713,2025-03-25
21715.646484375,22075.877,2025-03-26
21591.08203125,22072.795,2025-03-27
21549.560546875,22059.787,2025-03-28
21591.08203125,22038.795,2025-03-31
21632.603515625,22015.887,2025-04-01
21549.560546875,21994.982,2025-04-02
20054.794921875,21971.652,2025-04-03
19764.14453125,21863.982,2025-04-04
18393.94140625,21694.406,2025-04-08
18103.29296875,21415.582,2025-04-09
19348.931640625,21066.113,2025-04-10
20636.091796875,20755.695,2025-04-11
20594.5703125,20553.572,2025-04-14
20013.2734375,20429.39,2025-04-15
20179.359375,20333.469,2025-04-16
20179.359375,20272.602,2025-04-17
20345.443359375,20237.406,2025-04-18
20013.2734375,20230.092,2025-04-21
20013.2734375,20222.818,2025-04-22
20428.486328125,20216.742,2025-04-23
20054.794921875,20234.332,2025-04-24
19847.1875,20244.941,2025-04-25
19888.7109375,20240.096,2025-04-28
19971.751953125,20227.81,2025-04-29
19971.751953125,20215.396,2025-05-05
19930.23046875,20203.273,2025-05-06
19930.23046875,20189.762,2025-05-07
20054.794921875,20176.19,2025-05-08
20054.794921875,20170.156,2025-05-09
20262.400390625,20169.164,2025-05-12
20428.486328125,20183.166,2025-05-13
20594.5703125,20215.158,2025-05-14
21217.390625,20266.482,2025-05-15
21134.349609375,20362.38,2025-05-16
21092.828125,20477.146,2025-05-19
21258.912109375,20597.074,2025-05-20
21300.43359375,20723.773,2025-05-21
21217.390625,20850.281,2025-05-22
21600.0,20965.457,2025-05-23
21500.0,21088.89,2025-05-26
21450.0,21204.715,2025-05-27
21400.0,21307.3,2025-05-28
21300.0,21393.2,2025-05-29
21100.0,21458.084,2025-05-30
21100.0,21494.668,2025-06-02
21250.0,21511.08,2025-06-03
21100.0,21521.498,2025-06-04
21000.0,21518.451,2025-06-05
21000.0,21501.605,2025-06-06
20950.0,21476.73,2025-06-09
20950.0,21444.896,2025-06-10
20950.0,21410.201,2025-06-11
21050.0,21375.336,2025-06-12
21050.0,21347.748,2025-06-13
21300.0,21326.125,2025-06-16
21200.0,21323.676,2025-06-17
21300.0,21327.807,2025-06-18
21300.0,21342.227,2025-06-19
21450.0,21362.45,2025-06-20
21350.0,21393.963,2025-06-23
21300.0,21425.305,2025-06-24
21250.0,21452.523,2025-06-25
21200.0,21472.887,2025-06-26
21200.0,21484.893,2025-06-27
21300.0,21490.791,2025-06-30
21300.0,21497.87,2025-07-01
21300.0,21505.043,2025-07-02
21400.0,21512.01,2025-07-03
21850.0,21524.158,2025-07-04
22250.0,21564.168,2025-07-07
22250.0,21641.94,2025-07-08
22450.0,21740.09,2025-07-09
22550.0,21858.605,2025-07-10
22700.0,21989.803,2025-07-11
22700.0,22131.074,2025-07-14
22450.0,22271.41,2025-07-15
22450.0,22389.824,2025-07-16
22450.0,22488.465,2025-07-17
22650.0,22568.697,2025-07-18
22850.0,22643.883,2025-07-21
22900.0,22722.549,2025-07-22
23000.0,22801.838,2025-07-23
23200.0,22883.305,2025-07-24
23600.0,22973.307,2025-07-25
23850.0,23086.688,2025-07-28
22750.0,23222.875,2025-07-29
23000.0,23303.623,2025-07-30
23000.0,23362.365,2025-07-31
23000.0,23401.754,2025-08-01
23300.0,23426.06,2025-08-04
23450.0,23456.275,2025-08-05
24200.0,23496.328,2025-08-06
24400.0,23583.617,2025-08-07
24250.0,23706.688,2025-08-08
24400.0,23838.547,2025-08-11
24250.0,23979.215,2025-08-12
24500.0,24109.281,2025-08-13
26200.0,24240.746,2025-08-14
26550.0,24463.443,2025-08-15
27050.0,24748.416,2025-08-18
28450.0,25088.84,2025-08-19
28000.0,25528.348,2025-08-20
29450.0,25978.51,2025-08-21
27850.0,26499.812,2025-08-22
26200.0,26940.426,2025-08-25
27350.0,27217.87,2025-08-26
27650.0,27449.252,2025-08-27
27550.0,27648.06,2025-08-28
27800.0,27807.678,2025-08-29
27500.0,27948.94,2025-09-03
27650.0,28052.31,2025-09-04
27150.0,28136.234,2025-09-05
26550.0,28173.16,2025-09-08
26550.0,28145.336,2025-09-09
26550.0,28079.426,2025-09-10
26200.0,27991.049,2025-09-11
26300.0,27871.564,2025-09-12
26400.0,27745.209,2025-09-15
