Date,Actual,Prediction
2024-12-19,37966.0625,37950.117
2024-12-20,37966.0625,37972.29
2024-12-23,38175.3046875,37977.625
2024-12-24,37680.80859375,37985.516
2024-12-25,38224.7578125,37957.727
2024-12-26,38570.90625,37948.996
2024-12-27,38719.25390625,37974.6
2024-12-30,37829.15625,38030.83
2024-12-31,37136.859375,38040.234
2025-01-02,37779.70703125,37973.21
2025-01-03,37779.70703125,37907.152
2025-01-06,38373.10546875,37840.73
2025-01-07,39955.50390625,37820.62
2025-01-08,39906.05078125,37943.14
2025-01-09,39510.453125,38143.414
2025-01-10,38669.8046875,38358.242
2025-01-13,38867.60546875,38512.152
2025-01-14,38570.90625,38633.906
2025-01-15,38768.70703125,38702.125
2025-01-16,38966.50390625,38745.098
2025-01-17,39065.40625,38780.43
2025-01-20,39461.00390625,38813.99
2025-01-21,39362.10546875,38872.14
2025-01-22,39065.40625,38933.727
2025-01-23,39461.00390625,38973.188
2025-01-24,39559.90234375,39025.336
2025-02-03,38966.50390625,39086.816
2025-02-04,39213.75390625,39107.125
2025-02-05,39164.3046875,39119.668
2025-02-06,39362.10546875,39119.98
2025-02-07,40054.40234375,39126.242
2025-02-10,39906.05078125,39184.695
2025-02-11,40004.953125,39259.76
2025-02-12,39559.90234375,39350.207
2025-02-13,39559.90234375,39412.38
2025-02-14,40202.75,39454.156
2025-02-17,39757.703125,39525.395
2025-02-18,40054.40234375,39575.06
2025-02-19,40400.55078125,39631.82
2025-02-20,40450.0,39712.574
2025-02-21,40450.0,39805.832
2025-02-24,40647.80078125,39901.61
2025-02-25,40796.1484375,40007.48
2025-02-26,40746.69921875,40122.812
2025-02-27,40499.44921875,40232.57
2025-02-28,40499.44921875,40313.68
2025-03-03,40499.44921875,40371.49
2025-03-04,40351.1015625,40409.03
2025-03-05,40202.75,40418.93
2025-03-06,40351.1015625,40399.01
2025-03-07,40697.25,40371.33
2025-03-10,40944.5,40363.777
2025-03-11,40944.5,40385.824
2025-03-12,40450.0,40424.996
2025-03-13,39757.703125,40437.18
2025-03-14,39955.50390625,40382.79
2025-03-17,39906.05078125,40305.117
2025-03-18,39559.90234375,40210.15
