Date,Actual,Prediction
2024-12-19,24736.76171875,25257.479
2024-12-20,24702.595703125,25237.156
2024-12-23,24770.927734375,25205.27
2024-12-24,24736.76171875,25171.7
2024-12-25,26103.43359375,25136.043
2024-12-26,26103.43359375,25201.059
2024-12-27,26513.435546875,25332.225
2024-12-30,26581.76953125,25535.818
2024-12-31,25830.099609375,25783.982
2025-01-02,26035.1015625,25992.646
2025-01-03,25420.099609375,26174.871
2025-01-06,25420.099609375,26276.365
2025-01-07,25590.931640625,26312.19
2025-01-08,25830.099609375,26308.36
2025-01-09,25556.765625,26292.332
2025-01-10,25625.09765625,26247.3
2025-01-13,25761.767578125,26190.463
2025-01-14,25249.263671875,26138.525
2025-01-15,25112.59765625,26054.854
2025-01-16,25146.763671875,25944.96
2025-01-17,25420.099609375,25825.234
2025-01-20,25488.431640625,25725.832
2025-01-21,25488.431640625,25652.03
2025-01-22,25488.431640625,25602.12
2025-01-23,26035.1015625,25573.307
2025-01-24,25966.765625,25602.39
2025-02-03,26000.935546875,25665.43
2025-02-04,26923.4375,25752.715
2025-02-05,26889.271484375,25920.71
2025-02-06,26991.771484375,26131.943
2025-02-07,27880.107421875,26370.215
2025-02-10,27538.439453125,26679.66
2025-02-11,27811.775390625,26992.537
2025-02-12,27675.107421875,27309.947
2025-02-13,27914.275390625,27597.21
2025-02-14,27709.2734375,27861.2
2025-02-17,27435.939453125,28072.303
2025-02-18,27538.439453125,28208.758
2025-02-19,27675.107421875,28288.629
2025-02-20,27914.275390625,28330.215
2025-02-21,28358.44140625,28358.174
2025-02-24,28631.77734375,28407.621
2025-02-25,28597.609375,28489.09
2025-02-26,28255.94140625,28585.035
2025-02-27,28358.44140625,28658.066
2025-02-28,28358.44140625,28717.455
2025-03-03,28187.609375,28760.322
2025-03-04,28426.77734375,28773.117
2025-03-05,28153.443359375,28781.146
2025-03-06,28460.943359375,28761.19
2025-03-07,28973.4453125,28746.717
2025-03-10,29007.61328125,28775.387
2025-03-11,29110.11328125,28834.219
2025-03-12,29144.279296875,28919.545
2025-03-13,28905.111328125,29020.514
2025-03-14,28905.111328125,29106.336
2025-03-17,29110.11328125,29175.21
2025-03-18,28700.111328125,29241.828
2025-03-19,28392.611328125,29267.672
2025-03-20,28426.77734375,29238.5
2025-03-21,28460.943359375,29173.762
2025-03-24,28563.443359375,29088.826
2025-03-25,28905.111328125,29002.555
2025-03-26,28529.27734375,28947.916
2025-03-27,28426.77734375,28889.312
2025-03-28,28255.94140625,28825.93
2025-03-31,28324.275390625,28749.826
2025-04-01,28597.609375,28675.277
2025-04-02,28665.9453125,28627.822
2025-04-03,26684.26953125,28607.824
2025-04-04,26445.1015625,28453.441
2025-04-08,24600.095703125,28200.998
2025-04-09,23096.755859375,27749.03
2025-04-10,24702.595703125,27075.305
2025-04-11,26240.1015625,26415.371
2025-04-14,26171.767578125,25919.252
2025-04-15,25795.93359375,25569.17
2025-04-16,25420.099609375,25327.08
2025-04-17,25454.265625,25156.555
2025-04-18,25590.931640625,25054.422
2025-04-21,25454.265625,25019.164
2025-04-22,25351.763671875,25025.229
2025-04-23,25488.431640625,25054.848
2025-04-24,25556.765625,25110.752
2025-04-25,25385.9296875,25187.67
2025-04-28,25180.931640625,25263.416
2025-04-29,25420.099609375,25319.926
2025-05-05,25522.599609375,25377.686
2025-05-06,25693.43359375,25440.232
2025-05-07,25590.931640625,25515.889
2025-05-08,25659.265625,25589.494
2025-05-09,25590.931640625,25663.357
2025-05-12,25864.265625,25727.924
2025-05-13,26923.4375,25802.5
2025-05-14,27060.103515625,25957.959
2025-05-15,27162.603515625,26170.982
2025-05-16,26650.103515625,26421.95
2025-05-19,26718.4375,26646.068
2025-05-20,26991.771484375,26841.926
2025-05-21,26957.60546875,27022.807
2025-05-22,26547.6015625,27176.014
2025-05-23,26513.435546875,27266.863
2025-05-26,26820.935546875,27303.766
2025-05-27,27060.103515625,27320.883
2025-05-28,27025.9375,27338.807
2025-05-29,26581.76953125,27352.73
2025-05-30,26171.767578125,27328.95
2025-06-02,26240.1015625,27248.79
2025-06-03,26342.6015625,27138.074
2025-06-04,26308.435546875,27018.57
2025-06-05,26342.6015625,26897.174
2025-06-06,26103.43359375,26785.23
2025-06-09,25966.765625,26669.367
2025-06-10,25864.265625,26548.852
2025-06-11,25966.765625,26425.312
2025-06-12,26308.435546875,26315.533
2025-06-13,27265.10546875,26248.354
2025-06-16,27538.439453125,26288.11
2025-06-17,27572.607421875,26422.426
2025-06-18,27435.939453125,26621.287
2025-06-19,27811.775390625,26845.047
2025-06-20,28221.775390625,27101.342
2025-06-23,28255.94140625,27394.11
2025-06-24,28392.611328125,27695.475
2025-06-25,28495.109375,27993.635
2025-06-26,28631.77734375,28276.47
2025-06-27,28665.9453125,28538.729
2025-06-30,28631.77734375,28769.588
2025-07-01,28631.77734375,28958.11
2025-07-02,28631.77734375,29101.824
2025-07-03,29041.779296875,29201.592
2025-07-04,29178.4453125,29293.69
2025-07-07,30340.1171875,29382.01
2025-07-08,30340.1171875,29553.266
2025-07-09,30750.119140625,29768.785
2025-07-10,30750.119140625,30036.035
2025-07-11,30476.78515625,30320.547
2025-07-14,30271.783203125,30574.844
2025-07-15,30169.283203125,30771.541
2025-07-16,30715.951171875,30901.65
2025-07-17,30750.119140625,31015.738
2025-07-18,30784.287109375,31107.863
2025-07-21,30886.78515625,31179.004
2025-07-22,31160.12109375,31236.664
2025-07-23,31194.287109375,31300.83
2025-07-24,31228.453125,31365.367
2025-07-25,31160.12109375,31427.17
2025-07-28,31160.12109375,31475.379
2025-07-29,29930.115234375,31508.924
2025-07-30,31570.12109375,31426.375
2025-07-31,31365.12109375,31403.56
2025-08-01,30271.783203125,31397.877
2025-08-04,31194.287109375,31317.293
2025-08-05,31775.123046875,31268.02
2025-08-06,32458.4609375,31285.77
2025-08-07,32697.62890625,31405.008
2025-08-08,32595.126953125,31607.736
2025-08-11,32458.4609375,31849.047
2025-08-12,32800.125,32090.863
2025-08-13,33893.46484375,32343.648
2025-08-14,34303.46875,32673.979
2025-08-15,33483.4609375,33065.746
2025-08-18,33141.796875,33404.824
2025-08-19,33893.46484375,33656.066
2025-08-20,34576.80078125,33886.613
2025-08-21,35396.8046875,34135.664
2025-08-22,34781.8046875,34444.676
2025-08-25,33551.79296875,34718.637
2025-08-26,34986.80078125,34846.223
2025-08-27,34918.46875,34982.73
2025-08-28,35260.13671875,35096.59
2025-08-29,35055.13671875,35213.855
2025-09-03,34576.80078125,35303.645
2025-09-04,34850.13671875,35325.652
2025-09-05,34371.80078125,35319.723
2025-09-08,33825.1328125,35248.066
2025-09-09,33893.46484375,35087.78
2025-09-10,34508.46484375,34880.465
2025-09-11,34576.80078125,34702.168
2025-09-12,34440.1328125,34558.17
2025-09-15,35260.13671875,34437.605
2025-09-16,35875.13671875,34412.38
2025-09-17,35123.46875,34504.875
2025-09-18,34986.80078125,34610.707
2025-09-19,34986.80078125,34712.242
2025-09-22,33688.46484375,34802.31
2025-09-23,34166.80078125,34766.18
2025-09-24,34508.46484375,34687.293
2025-09-25,34371.80078125,34605.938
2025-09-26,34645.1328125,34514.957
2025-09-29,34850.13671875,34448.242
2025-09-30,34713.46484375,34420.227
2025-10-01,35191.80078125,34410.79
2025-10-02,35191.80078125,34457.62
2025-10-03,34713.46484375,34539.65
2025-10-06,35806.8046875,34602.086
2025-10-07,35260.13671875,34740.8
2025-10-08,36148.47265625,34871.94
2025-10-09,37583.4765625,35067.58
2025-10-10,37720.1484375,35411.582
2025-10-13,38266.8125,35843.477
2025-10-14,37610.62109375,36356.08
2025-10-15,37887.16796875,36831.42
2025-10-16,37195.796875,37271.473
2025-10-17,36089.6015625,37589.605
2025-10-20,33808.07421875,37702.945
2025-10-21,34534.015625,37467.41
2025-10-22,34914.26953125,37067.523
2025-10-23,34361.171875,36597.844
2025-10-24,34430.30859375,36060.156
2025-10-27,33600.6640625,35521.54
2025-10-28,33877.2109375,34949.895
2025-10-29,34326.60546875,34424.168
2025-10-30,34015.48828125,34004.75
2025-10-31,33877.2109375,33664.895
2025-11-03,33531.52734375,33399.67
2025-11-04,34534.015625,33180.934
2025-11-05,35467.3671875,33098.56
2025-11-06,35329.09375,33195.07
2025-11-07,33877.2109375,33402.598
2025-11-10,33185.83984375,33560.027
2025-11-11,33531.52734375,33621.4
2025-11-12,34015.48828125,33639.703
2025-11-13,33773.5078125,33663.17
2025-11-14,33566.09375,33667.42
2025-11-17,33773.5078125,33644.184
2025-11-18,34153.76171875,33623.11
2025-11-19,34119.19140625,33637.457
2025-11-20,33946.34765625,33673.707
2025-11-21,33946.34765625,33711.43
2025-11-24,33738.9375,33749.875
2025-11-25,33289.546875,33769.336
2025-11-26,33808.07421875,33737.438
2025-11-27,33773.5078125,33716.336
2025-11-28,33877.2109375,33698.418
2025-12-01,33462.390625,33694.07
2025-12-02,33911.78125,33665.273
2025-12-03,35951.328125,33661.312
2025-12-04,35951.328125,33844.07
2025-12-05,35605.640625,34140.383
2025-12-08,35329.09375,34473.7
2025-12-09,34637.72265625,34789.758
2025-12-10,34914.26953125,35012.152
2025-12-11,34637.72265625,35174.973
2025-12-12,34222.8984375,35254.305
2025-12-15,34361.171875,35231.87
2025-12-16,35259.95703125,35149.273
2025-12-17,34700.0,35102.188
2025-12-18,34350.0,35031.02
2025-12-19,34450.0,34922.21
