Date,Actual,Prediction
2024-11-26,35016.33984375,33200.38
2024-11-27,34867.54296875,33399.367
2024-11-28,35115.53515625,33609.09
2024-11-29,35462.72265625,33834.645
2024-12-02,35561.91796875,34083.734
2024-12-03,35611.51953125,34336.875
2024-12-04,35016.33984375,34577.945
2024-12-05,36107.5,34739.297
2024-12-06,35958.70703125,34937.027
2024-12-09,36157.09765625,35121.53
2024-12-10,36057.90234375,35301.887
2024-12-11,36057.90234375,35454.453
2024-12-12,36008.3046875,35576.63
2024-12-13,36057.90234375,35663.348
2024-12-16,35958.70703125,35723.152
2024-12-17,35958.70703125,35749.367
2024-12-18,35958.70703125,35750.32
2024-12-19,35909.10546875,35732.695
2024-12-20,35859.5078125,35697.95
2024-12-23,35958.70703125,35648.93
2024-12-24,35909.10546875,35602.266
2024-12-25,37893.03515625,35554.297
2024-12-26,37893.03515625,35689.168
2024-12-27,38488.21484375,35919.406
2024-12-30,38587.41015625,36251.895
2024-12-31,37496.25,36632.71
2025-01-02,37793.83984375,36915.605
2025-01-03,36901.0703125,37147.844
2025-01-06,36901.0703125,37240.918
2025-01-07,37149.0625,37239.73
2025-01-08,37496.25,37195.973
2025-01-09,37099.46484375,37154.758
2025-01-10,37198.66015625,37076.51
2025-01-13,37397.0546875,36990.902
2025-01-14,36653.08203125,36922.934
2025-01-15,36454.6875,36799.992
2025-01-16,36504.28515625,36637.336
2025-01-17,36901.0703125,36465.867
2025-01-20,37000.26953125,36336.895
2025-01-21,37000.26953125,36251.3
2025-01-22,37000.26953125,36200.543
2025-01-23,37793.83984375,36177.375
2025-01-24,37694.64453125,36248.08
2025-02-03,37744.2421875,36360.742
2025-02-04,39083.39453125,36499.55
2025-02-05,39033.79296875,36769.836
2025-02-06,39182.58984375,37092.188
2025-02-07,40472.14453125,37440.746
2025-02-10,39976.16015625,37900.91
2025-02-11,40372.9453125,38342.816
2025-02-12,40174.5546875,38781.383
2025-02-13,40521.7421875,39160.48
2025-02-14,40224.15234375,39504.133
2025-02-17,39827.3671875,39763.137
2025-02-18,39976.16015625,39907.363
2025-02-19,40174.5546875,39978.402
2025-02-20,40521.7421875,40008.64
2025-02-21,41166.51953125,40037.08
2025-02-24,41563.3046875,40117.637
2025-02-25,41513.70703125,40255.883
2025-02-26,41017.72265625,40410.99
2025-02-27,41166.51953125,40515.58
2025-02-28,41166.51953125,40595.664
2025-03-03,40918.52734375,40648.64
2025-03-04,41265.71484375,40652.438
2025-03-05,40868.9296875,40657.062
2025-03-06,41315.3125,40616.73
2025-03-07,42059.28515625,40595.38
2025-03-10,42108.8828125,40654.203
2025-03-11,42257.6796875,40757.477
2025-03-12,42307.27734375,40895.957
2025-03-13,41960.08984375,41049.78
2025-03-14,41960.08984375,41166.35
2025-03-17,42257.6796875,41251.69
2025-03-18,41662.5,41337.234
2025-03-19,41216.1171875,41352.566
2025-03-20,41265.71484375,41281.023
2025-03-21,41315.3125,41165.043
2025-03-24,41464.10546875,41030.746
2025-03-25,41960.08984375,40907.223
2025-03-26,41414.5078125,40846.58
2025-03-27,41265.71484375,40772.95
2025-03-28,41017.72265625,40688.066
2025-03-31,41116.91796875,40579.34
2025-04-01,41513.70703125,40475.47
2025-04-02,41612.90234375,40420.54
2025-04-03,38736.20703125,40408.137
2025-04-04,38389.01953125,40143.74
2025-04-08,35710.71484375,39731.203
2025-04-09,33528.39453125,38997.22
2025-04-10,35859.5078125,37930.48
2025-04-11,38091.4296875,36970.83
2025-04-14,37992.23046875,36340.34
2025-04-15,37446.65234375,35948.305
2025-04-16,36901.0703125,35701.43
2025-04-17,36950.66796875,35531.21
2025-04-18,37149.0625,35440.496
2025-04-21,36950.66796875,35432.7
2025-04-22,36801.875,35465.914
2025-04-23,37000.26953125,35516.99
2025-04-24,37099.46484375,35599.984
2025-04-25,36851.47265625,35709.26
2025-04-28,36553.8828125,35807.832
2025-04-29,36901.0703125,35869.785
2025-05-05,37049.8671875,35939.51
2025-05-06,37297.85546875,36021.793
2025-05-07,37149.0625,36129.617
2025-05-08,37248.2578125,36232.19
2025-05-09,37149.0625,36335.35
2025-05-12,37545.84765625,36421.953
2025-05-13,39083.39453125,36529.043
2025-05-14,39281.78515625,36780.92
2025-05-15,39430.58203125,37116.46
2025-05-16,38686.60546875,37496.29
2025-05-19,38785.8046875,37806.51
2025-05-20,39182.58984375,38062.22
2025-05-21,39132.9921875,38296.78
2025-05-22,38537.8125,38488.992
2025-05-23,38488.21484375,38580.31
2025-05-26,38934.59765625,38595.777
2025-05-27,39281.78515625,38599.305
2025-05-28,39232.1875,38620.5
2025-05-29,38587.41015625,38641.71
2025-05-30,37992.23046875,38598.777
2025-06-02,38091.4296875,38464.33
2025-06-03,38240.22265625,38292.254
2025-06-04,38190.625,38119.195
2025-06-05,38240.22265625,37951.08
2025-06-06,37893.03515625,37803.402
2025-06-09,37694.64453125,37646.977
2025-06-10,37545.84765625,37481.285
2025-06-11,37694.64453125,37310.01
2025-06-12,38190.625,37163.613
