Date,Actual,Prediction
2024-12-19,18120.1328125,18116.44
2024-12-20,18043.025390625,18235.45
2024-12-23,18043.025390625,18314.75
2024-12-24,18043.025390625,18362.717
2024-12-25,18428.560546875,18386.518
2024-12-26,18621.328125,18417.566
2024-12-27,19238.18359375,18462.3
2024-12-30,20549.001953125,18552.973
2024-12-31,19662.271484375,18752.094
2025-01-02,19353.84375,18948.857
2025-01-03,18852.6484375,19116.883
2025-01-06,18891.201171875,19224.055
2025-01-07,18698.435546875,19288.57
2025-01-08,17965.91796875,19307.232
2025-01-09,17233.40234375,19246.443
2025-01-10,16655.1015625,19091.225
2025-01-13,16732.20703125,18847.252
2025-01-14,16308.119140625,18565.594
2025-01-15,16693.654296875,18246.77
2025-01-16,16732.20703125,17948.605
2025-01-17,17349.0625,17682.223
2025-01-20,17734.59765625,17492.432
2025-01-21,17464.72265625,17387.502
2025-01-22,16963.529296875,17327.363
2025-01-23,17271.95703125,17270.426
2025-01-24,17464.72265625,17241.117
2025-02-03,17271.95703125,17243.191
2025-02-04,17426.169921875,17253.26
2025-02-05,17426.169921875,17279.016
2025-02-06,17696.044921875,17313.28
2025-02-07,17657.490234375,17368.752
2025-02-10,17426.169921875,17431.787
2025-02-11,17387.6171875,17481.652
2025-02-12,17387.6171875,17518.273
2025-02-13,17503.27734375,17543.945
2025-02-14,17618.9375,17568.146
2025-02-17,17464.72265625,17596.89
2025-02-18,17503.27734375,17616.607
2025-02-19,17580.384765625,17632.293
2025-02-20,17618.9375,17649.133
2025-02-21,17773.150390625,17667.918
2025-02-24,18081.580078125,17696.727
2025-02-25,17888.8125,17749.896
2025-02-26,17773.150390625,17802.65
2025-02-27,17888.8125,17845.506
2025-02-28,17773.150390625,17887.148
2025-03-03,17734.59765625,17917.443
2025-03-04,17696.044921875,17936.29
2025-03-05,17657.490234375,17943.91
2025-03-06,17773.150390625,17941.111
2025-03-07,18043.025390625,17939.05
2025-03-10,18274.345703125,17954.52
2025-03-11,18351.453125,17994.693
2025-03-12,18235.79296875,18053.254
2025-03-13,17850.2578125,18113.07
2025-03-14,17888.8125,18145.775
2025-03-17,18043.025390625,18162.502
2025-03-18,17927.365234375,18177.127
2025-03-19,17773.150390625,18181.143
2025-03-20,17811.705078125,18168.262
2025-03-21,17734.59765625,18147.912
2025-03-24,17464.72265625,18118.445
2025-03-25,17541.830078125,18067.365
2025-03-26,17541.830078125,18010.92
2025-03-27,17464.72265625,17953.701
2025-03-28,17156.294921875,17894.295
2025-03-31,17040.634765625,17817.307
2025-04-01,17310.509765625,17726.902
2025-04-02,17310.509765625,17650.611
2025-04-03,16115.3515625,17587.006
2025-04-04,16038.2451171875,17458.781
2025-04-08,14920.1943359375,17294.982
2025-04-09,14033.46484375,17045.295
2025-04-10,14997.30078125,16700.848
2025-04-11,15961.1376953125,16377.528
2025-04-14,16192.458984375,16143.579
2025-04-15,15845.4775390625,15994.369
2025-04-16,15922.5849609375,15888.899
2025-04-17,15961.1376953125,15825.705
2025-04-18,16038.2451171875,15797.074
2025-04-21,15729.8173828125,15798.3125
2025-04-22,15652.7099609375,15800.11
2025-04-23,15691.263671875,15798.497
2025-04-24,16385.2265625,15797.326
2025-04-25,16385.2265625,15840.026
2025-04-28,16577.994140625,15907.578
2025-04-29,16539.439453125,16000.466
2025-05-05,16346.6728515625,16102.173
2025-05-06,16385.2265625,16192.003
2025-05-07,16153.9052734375,16271.745
2025-05-08,16385.2265625,16325.149
2025-05-09,16346.6728515625,16373.132
2025-05-12,16577.994140625,16411.264
2025-05-13,16809.314453125,16455.371
2025-05-14,17117.7421875,16514.803
2025-05-15,17156.294921875,16599.984
2025-05-16,16924.974609375,16699.033
2025-05-19,16963.529296875,16786.9
