Actual,Prediction,Date
26637.26953125,26327.426,2024-12-19
26637.26953125,26318.027,2024-12-20
26717.021484375,26302.242,2024-12-23
26756.896484375,26286.21,2024-12-24
27315.1640625,26272.781,2024-12-25
27036.029296875,26287.264,2024-12-26
28876.712890625,26310.42,2024-12-27
29389.041015625,26421.934,2024-12-30
29109.58984375,26620.316,2024-12-31
29109.58984375,26864.734,2025-01-02
28317.80859375,27131.883,2025-01-03
28224.658203125,27365.855,2025-01-06
28597.26171875,27556.443,2025-01-07
28783.5625,27719.758,2025-01-08
28504.109375,27862.871,2025-01-09
28131.5078125,27972.11,2025-01-10
28597.26171875,28034.129,2025-01-13
28736.986328125,28078.568,2025-01-14
28876.712890625,28114.725,2025-01-15
29295.890625,28150.596,2025-01-16
29715.068359375,28204.63,2025-01-17
29482.193359375,28289.967,2025-01-20
29668.494140625,28385.39,2025-01-21
31112.330078125,28492.352,2025-01-22
32882.19140625,28668.146,2025-01-23
33394.51953125,28969.578,2025-01-24
32695.890625,29378.367,2025-02-03
32695.890625,29818.738,2025-02-04
33441.09765625,30259.97,2025-02-05
34000.0,30711.713,2025-02-06
34000.0,31173.932,2025-02-07
34046.578125,31621.838,2025-02-10
34465.75390625,32039.402,2025-02-11
34791.78125,32432.916,2025-02-12
35117.80859375,32804.527,2025-02-13
34931.5078125,33157.52,2025-02-14
34698.6328125,33471.62,2025-02-17
34093.15234375,33730.785,2025-02-18
34186.30078125,33907.64,2025-02-19
33813.69921875,34017.76,2025-02-20
33906.8515625,34054.81,2025-02-21
34279.453125,34039.93,2025-02-24
34326.02734375,34004.723,2025-02-25
34372.60546875,33959.395,2025-02-26
34232.87890625,33912.12,2025-02-27
33673.97265625,33859.805,2025-02-28
33441.09765625,33780.27,2025-03-03
33068.4921875,33672.51,2025-03-04
33347.9453125,33530.25,2025-03-05
33115.0703125,33381.023,2025-03-06
32975.34375,33222.664,2025-03-07
32416.439453125,33058.816,2025-03-10
32276.712890625,32872.688,2025-03-11
32882.19140625,32671.783,2025-03-12
32882.19140625,32496.732,2025-03-13
32556.166015625,32349.822,2025-03-14
32323.2890625,32216.857,2025-03-17
32975.34375,32089.828,2025-03-18
33487.671875,32002.623,2025-03-19
