Date,Actual,Prediction
2024-11-25,25401.107421875,25433.57
2024-11-26,25440.984375,25436.16
2024-11-27,25759.9921875,25454.582
2024-11-28,25520.736328125,25505.652
2024-11-29,25720.1171875,25555.428
2024-12-02,26517.638671875,25616.727
2024-12-03,27075.90625,25740.145
2024-12-04,26677.14453125,25934.365
2024-12-05,26876.525390625,26129.438
2024-12-06,27315.1640625,26328.088
2024-12-09,27235.41015625,26547.53
2024-12-10,27155.658203125,26757.691
2024-12-11,26796.7734375,26941.654
2024-12-12,26398.01171875,27069.186
2024-12-13,26437.888671875,27122.652
2024-12-16,26437.888671875,27128.932
2024-12-17,26517.638671875,27103.988
2024-12-18,26876.525390625,27066.498
2024-12-19,26637.26953125,27050.092
2024-12-20,26637.26953125,27029.002
2024-12-23,26717.021484375,27007.15
2024-12-24,26756.896484375,26992.14
2024-12-25,27315.1640625,26985.09
2024-12-26,27036.029296875,27025.357
2024-12-27,28876.712890625,27070.18
2024-12-30,29389.041015625,27254.469
2024-12-31,29109.58984375,27547.906
2025-01-02,29109.58984375,27868.709
2025-01-03,28317.80859375,28186.031
2025-01-06,28224.658203125,28418.781
2025-01-07,28597.26171875,28576.605
2025-01-08,28783.5625,28703.46
2025-01-09,28504.109375,28813.963
2025-01-10,28131.5078125,28884.162
2025-01-13,28597.26171875,28896.219
2025-01-14,28736.986328125,28906.668
2025-01-15,28876.712890625,28923.805
2025-01-16,29295.890625,28953.96
2025-01-17,29715.068359375,29021.531
2025-01-20,29482.193359375,29138.51
2025-01-21,29668.494140625,29259.576
2025-01-22,31112.330078125,29389.842
2025-01-23,32882.19140625,29626.07
2025-01-24,33394.51953125,30043.32
2025-02-03,32695.890625,30580.217
2025-02-04,32695.890625,31100.879
2025-02-05,33441.09765625,31577.488
2025-02-06,34000.0,32049.35
2025-02-07,34000.0,32524.357
2025-02-10,34046.578125,32964.977
2025-02-11,34465.75390625,33355.695
2025-02-12,34791.78125,33718.652
2025-02-13,35117.80859375,34060.906
2025-02-14,34931.5078125,34388.902
2025-02-17,34698.6328125,34667.723
2025-02-18,34093.15234375,34877.36
2025-02-19,34186.30078125,34980.914
2025-02-20,33813.69921875,35018.844
2025-02-21,33906.8515625,34981.582
2025-02-24,34279.453125,34907.34
2025-02-25,34326.02734375,34842.523
2025-02-26,34372.60546875,34789.363
2025-02-27,34232.87890625,34750.285
2025-02-28,33673.97265625,34711.324
2025-03-03,33441.09765625,34631.824
2025-03-04,33068.4921875,34516.3
2025-03-05,33347.9453125,34357.582
2025-03-06,33115.0703125,34205.73
2025-03-07,32975.34375,34049.1
2025-03-10,32416.439453125,33890.652
2025-03-11,32276.712890625,33699.375
2025-03-12,32882.19140625,33492.46
2025-03-13,32882.19140625,33337.66
2025-03-14,32556.166015625,33224.105
2025-03-17,32323.2890625,33119.895
2025-03-18,32975.34375,33012.734
2025-03-19,33487.671875,32962.96
2025-03-20,33115.0703125,32990.094
2025-03-21,32416.439453125,33033.56
2025-03-24,31810.958984375,33032.42
2025-03-25,31671.234375,32959.44
2025-03-26,31158.904296875,32837.75
2025-03-27,30739.7265625,32654.502
2025-03-28,31158.904296875,32414.953
2025-03-31,30972.603515625,32190.623
2025-04-01,31112.330078125,31975.572
2025-04-02,30832.876953125,31793.498
2025-04-03,28690.412109375,31623.432
2025-04-04,30693.15234375,31309.896
2025-04-08,29063.013671875,31090.053
2025-04-09,29342.466796875,30811.504
2025-04-10,31391.78125,30544.031
2025-04-11,31857.53515625,30457.94
2025-04-14,31531.5078125,30521.523
2025-04-15,30879.453125,30650.676
2025-04-16,30413.69921875,30764.893
2025-04-17,31298.630859375,30828.922
2025-04-18,31578.08203125,30926.291
2025-04-21,30786.302734375,31055.945
2025-04-22,30972.603515625,31135.559
2025-04-23,31019.1796875,31195.643
2025-04-24,30739.7265625,31241.812
2025-04-25,30087.671875,31254.281
2025-04-28,30553.42578125,31195.55
2025-04-29,30320.548828125,31134.004
2025-05-05,29947.9453125,31054.938
2025-05-06,29575.34375,30942.752
2025-05-07,29994.521484375,30790.29
2025-05-08,30786.302734375,30656.37
2025-05-09,32136.986328125,30602.463
2025-05-12,32416.439453125,30703.924
2025-05-13,32369.86328125,30914.043
2025-05-14,33254.796875,31174.918
2025-05-15,34512.328125,31518.695
2025-05-16,34000.0,31984.807
2025-05-19,32700.0,32451.58
2025-05-20,32950.0,32787.652
2025-05-21,32550.0,33041.49
2025-05-22,31900.0,33191.95
2025-05-23,31950.0,33216.754
2025-05-26,32500.0,33166.023
2025-05-27,32200.0,33112.457
2025-05-28,31950.0,33034.652
2025-05-29,32000.0,32928.742
2025-05-30,31800.0,32817.098
2025-06-02,32000.0,32693.578
2025-06-03,32000.0,32587.295
2025-06-04,31750.0,32498.283
2025-06-05,31800.0,32407.098
2025-06-06,31200.0,32325.812
2025-06-09,31250.0,32209.834
2025-06-10,31450.0,32086.352
2025-06-11,31450.0,31981.729
2025-06-12,31650.0,31895.568
2025-06-13,31600.0,31842.768
2025-06-16,31650.0,31810.371
