Date,Actual,Prediction
2024-12-19,15519.43359375,15864.42
2024-12-20,15617.0390625,15840.499
2024-12-23,15649.5751953125,15813.894
2024-12-24,15551.96875,15789.019
2024-12-25,15909.859375,15759.861
2024-12-26,16202.6787109375,15755.656
2024-12-27,16300.28515625,15788.554
2024-12-30,16137.6083984375,15851.0205
2024-12-31,16332.8203125,15917.906
2025-01-02,16397.892578125,15998.125
2025-01-03,16072.537109375,16086.096
2025-01-06,15877.32421875,16149.886
2025-01-07,16201.052734375,16179.887
2025-01-08,16163.63671875,16208.537
2025-01-09,16088.8046875,16230.257
2025-01-10,15826.89453125,16240.649
2025-01-13,16088.8046875,16223.9
2025-01-14,15939.140625,16209.441
2025-01-15,15976.556640625,16185.472
2025-01-16,16013.97265625,16159.874
2025-01-17,16088.8046875,16137.287
2025-01-20,16350.7158203125,16123.461
2025-01-21,16350.7158203125,16135.165
2025-01-22,16313.30078125,16162.675
2025-01-23,16612.625,16196.642
2025-01-24,16762.2890625,16254.601
2025-02-03,16500.37890625,16334.914
2025-02-04,16799.705078125,16405.836
2025-02-05,16837.12109375,16488.465
2025-02-06,16911.953125,16575.076
2025-02-07,17024.19921875,16664.12
2025-02-10,17136.447265625,16756.879
2025-02-11,17211.279296875,16853.85
2025-02-12,16986.783203125,16952.357
2025-02-13,17136.447265625,17028.55
2025-02-14,17099.03125,17096.209
2025-02-17,16949.369140625,17149.822
2025-02-18,16986.783203125,17179.207
2025-02-19,17099.03125,17193.184
2025-02-20,17099.03125,17203.469
2025-02-21,17136.447265625,17209.85
2025-02-24,17211.279296875,17215.775
2025-02-25,17510.607421875,17226.178
2025-02-26,17360.943359375,17260.602
2025-02-27,17360.943359375,17296.734
2025-02-28,17211.279296875,17332.3
2025-03-03,17286.111328125,17353.764
2025-03-04,17510.607421875,17370.066
2025-03-05,17622.8515625,17397.74
2025-03-06,18034.427734375,17438.58
2025-03-07,18333.75390625,17515.875
2025-03-10,18333.75390625,17633.596
2025-03-11,18558.25,17770.184
2025-03-12,18408.5859375,17927.629
2025-03-13,18184.091796875,18076.549
2025-03-14,18184.091796875,18193.395
2025-03-17,18184.091796875,18281.09
2025-03-18,17884.763671875,18342.402
2025-03-19,17847.34765625,18358.58
2025-03-20,18146.67578125,18341.07
2025-03-21,18184.091796875,18323.861
2025-03-24,18258.921875,18308.988
2025-03-25,18109.259765625,18302.111
2025-03-26,17959.595703125,18289.377
2025-03-27,17884.763671875,18262.764
2025-03-28,17884.763671875,18223.164
2025-03-31,18034.427734375,18177.283
2025-04-01,18408.5859375,18141.092
2025-04-02,18221.505859375,18141.137
2025-04-03,16949.369140625,18150.12
2025-04-04,16799.705078125,18070.236
2025-04-08,15639.814453125,17929.844
2025-04-09,15452.7353515625,17670.918
2025-04-10,16500.37890625,17340.137
2025-04-11,17548.0234375,17059.709
2025-04-14,17548.0234375,16904.299
2025-04-15,17211.279296875,16841.29
2025-04-16,17136.447265625,16822.457
2025-04-17,17211.279296875,16831.635
2025-04-18,17398.359375,16865.18
2025-04-21,17173.86328125,16926.686
2025-04-22,17286.111328125,16986.225
2025-04-23,17510.607421875,17050.049
2025-04-24,17398.359375,17128.836
2025-04-25,17622.8515625,17203.787
2025-04-28,17735.099609375,17288.674
2025-04-29,17622.8515625,17382.354
2025-05-05,17622.8515625,17467.418
2025-05-06,17622.8515625,17541.68
2025-05-07,17398.359375,17603.633
2025-05-08,17622.8515625,17636.336
2025-05-09,17585.439453125,17664.502
2025-05-12,17809.931640625,17683.7
2025-05-13,18333.75390625,17712.445
2025-05-14,18333.75390625,17783.879
2025-05-15,18745.328125,17877.61
2025-05-16,18446.001953125,18011.63
2025-05-19,18408.5859375,18140.002
2025-05-20,18595.666015625,18254.605
2025-05-21,18745.328125,18365.979
2025-05-22,18446.001953125,18477.707
2025-05-23,18446.001953125,18558.656
2025-05-26,18558.25,18614.379
2025-05-27,18520.833984375,18657.053
2025-05-28,18408.5859375,18684.12
2025-05-29,18333.75390625,18690.096
2025-05-30,18221.505859375,18675.79
2025-06-02,18408.5859375,18640.012
2025-06-03,18483.41796875,18606.26
2025-06-04,18371.169921875,18580.457
2025-06-05,18258.921875,18552.8
2025-06-06,18071.84375,18517.676
2025-06-09,18146.67578125,18465.957
2025-06-10,18109.259765625,18412.635
2025-06-11,18146.67578125,18358.246
2025-06-12,18483.41796875,18309.672
2025-06-13,18595.666015625,18293.416
2025-06-16,18782.744140625,18307.166
2025-06-17,18707.912109375,18354.39
2025-06-18,18745.328125,18415.01
2025-06-19,18782.744140625,18484.133
2025-06-20,19306.56640625,18557.072
2025-06-23,19381.3984375,18667.232
2025-06-24,19381.3984375,18798.617
2025-06-25,19156.90234375,18935.771
2025-06-26,19381.3984375,19050.676
2025-06-27,19231.734375,19160.816
2025-06-30,19306.56640625,19247.297
2025-07-01,19456.228515625,19318.166
2025-07-02,19493.64453125,19384.305
2025-07-03,19418.814453125,19444.578
2025-07-04,19456.228515625,19490.676
2025-07-07,19755.5546875,19527.008
2025-07-08,19755.5546875,19576.598
2025-07-09,19905.21875,19629.912
2025-07-10,19792.970703125,19693.588
2025-07-11,19980.05078125,19750.297
2025-07-14,20054.8828125,19813.225
2025-07-15,19905.21875,19880.416
2025-07-16,19980.05078125,19933.748
2025-07-17,20017.466796875,19980.357
2025-07-18,20354.208984375,20021.188
2025-07-21,20167.12890625,20080.754
2025-07-22,20316.79296875,20132.328
2025-07-23,20503.873046875,20187.578
2025-07-24,21252.189453125,20254.785
2025-07-25,21289.60546875,20382.281
2025-07-28,21514.099609375,20540.65
2025-07-29,20092.296875,20727.01
2025-07-30,20503.873046875,20807.412
2025-07-31,20541.2890625,20850.742
2025-08-01,20316.79296875,20864.443
2025-08-04,20803.197265625,20838.652
2025-08-05,22225.0,20826.56
2025-08-06,22898.484375,20931.824
2025-08-07,23010.732421875,21153.791
2025-08-08,22861.068359375,21446.018
2025-08-11,23796.462890625,21754.488
2025-08-12,24245.455078125,22127.564
2025-08-13,25800.0,22547.58
2025-08-14,27600.0,23090.809
2025-08-15,28250.0,23812.195
2025-08-18,27800.0,24643.135
2025-08-19,28200.0,25448.855
2025-08-20,27800.0,26214.777
2025-08-21,28200.0,26861.006
2025-08-22,26900.0,27413.314
2025-08-25,26200.0,27751.768
2025-08-26,27550.0,27875.89
2025-08-27,27400.0,27958.082
2025-08-28,27200.0,27976.014
2025-08-29,27750.0,27932.03
2025-09-03,28450.0,27892.209
2025-09-04,28250.0,27904.438
2025-09-05,27400.0,27924.61
2025-09-08,26700.0,27881.035
2025-09-09,26650.0,27748.617
2025-09-10,26950.0,27566.117
2025-09-11,26700.0,27383.748
2025-09-12,26600.0,27188.56
2025-09-15,26850.0,26991.33
2025-09-16,27500.0,26825.732
2025-09-17,27000.0,26740.607
2025-09-18,26800.0,26668.758
2025-09-19,26650.0,26600.418
2025-09-22,26150.0,26529.08
2025-09-23,26350.0,26422.297
2025-09-24,26800.0,26319.717
2025-09-25,26550.0,26260.281
2025-09-26,26250.0,26209.969
2025-09-29,26150.0,26148.805
2025-09-30,26200.0,26080.03
2025-10-01,26400.0,26015.992
2025-10-02,26800.0,25975.176
2025-10-03,26550.0,25983.037
2025-10-06,27350.0,26000.242
2025-10-07,26850.0,26089.314
2025-10-08,26850.0,26173.9
2025-10-09,27350.0,26255.607
2025-10-10,27450.0,26369.611
2025-10-13,27350.0,26500.746
2025-10-14,27050.0,26626.021
2025-10-15,27250.0,26716.271
2025-10-16,27200.0,26795.541
2025-10-17,27100.0,26855.623
2025-10-20,25250.0,26891.055
2025-10-21,25300.0,26761.512
2025-10-22,25450.0,26552.025
2025-10-23,25200.0,26312.396
2025-10-24,24400.0,26046.373
2025-10-27,23800.0,25719.375
2025-10-28,24000.0,25333.49
2025-10-29,24350.0,24954.947
2025-10-30,23950.0,24632.195
2025-10-31,23600.0,24334.61
2025-11-03,23100.0,24051.463
2025-11-04,24000.0,23761.914
2025-11-05,23900.0,23563.867
2025-11-06,23700.0,23426.432
2025-11-07,23300.0,23326.7
2025-11-10,23100.0,23231.31
2025-11-11,23200.0,23134.42
2025-11-12,23700.0,23053.766
