Date,Actual,Prediction
2025-07-03,46650.0,47708.11
2025-07-04,47050.0,47848.734
2025-07-07,47550.0,47971.34
2025-07-08,47650.0,48101.887
2025-07-09,47800.0,48236.848
2025-07-10,47650.0,48377.527
2025-07-11,47650.0,48508.113
2025-07-14,47950.0,48626.746
2025-07-15,47700.0,48748.05
2025-07-16,47800.0,48851.766
2025-07-17,47700.0,48945.035
2025-07-18,50200.0,49021.316
2025-07-21,49500.0,49216.957
2025-07-22,49500.0,49442.875
2025-07-23,48700.0,49683.773
2025-07-24,49000.0,49881.746
2025-07-25,48800.0,50059.363
2025-07-28,49100.0,50202.605
2025-07-29,48000.0,50332.17
2025-07-30,49300.0,50386.332
2025-07-31,49950.0,50459.047
2025-08-01,49400.0,50572.086
2025-08-04,50000.0,50677.758
2025-08-05,51700.0,50808.64
2025-08-06,54100.0,51041.008
2025-08-07,54600.0,51457.977
2025-08-08,54000.0,52006.336
2025-08-11,53700.0,52590.824
2025-08-12,54000.0,53161.613
2025-08-13,53900.0,53714.42
2025-08-14,55400.0,54223.33
2025-08-15,53900.0,54759.805
2025-08-18,52800.0,55206.285
2025-08-19,53200.0,55518.164
2025-08-20,54100.0,55747.785
2025-08-21,57800.0,55956.11
2025-08-22,55500.0,56335.473
2025-08-25,53000.0,56682.105
2025-08-26,55000.0,56870.035
2025-08-27,55600.0,57056.38
2025-08-28,54800.0,57255.867
2025-08-29,55600.0,57411.72
2025-09-03,56300.0,57577.715
2025-09-04,56400.0,57777.97
2025-09-05,56000.0,57996.94
2025-09-08,54000.0,58199.02
2025-09-09,54200.0,58276.305
2025-09-10,53900.0,58282.215
2025-09-11,55400.0,58219.492
2025-09-12,55400.0,58192.484
2025-09-15,56000.0,58185.086
2025-09-16,56100.0,58225.246
2025-09-17,56200.0,58300.69
2025-09-18,57000.0,58403.562
2025-09-19,55200.0,58563.926
2025-09-22,54800.0,58658.67
2025-09-23,55400.0,58690.555
2025-09-24,57000.0,58709.54
2025-09-25,56900.0,58800.27
2025-09-26,56500.0,58925.137
2025-09-29,56600.0,59049.215
2025-09-30,56900.0,59175.184
2025-10-01,59800.0,59312.55
2025-10-02,58700.0,59604.28
2025-10-03,57000.0,59920.566
2025-10-06,59800.0,60157.88
2025-10-07,58500.0,60485.67
2025-10-08,59900.0,60779.832
2025-10-09,60000.0,61119.145
2025-10-10,60400.0,61473.906
2025-10-13,61000.0,61845.777
2025-10-14,60600.0,62243.81
2025-10-15,60000.0,62619.926
2025-10-16,59500.0,62936.047
2025-10-17,59000.0,63173.78
2025-10-20,54900.0,63322.633
2025-10-21,55600.0,63189.32
2025-10-22,55400.0,62921.074
2025-10-23,55600.0,62551.684
2025-10-24,54500.0,62137.47
2025-10-27,54600.0,61649.734
2025-10-28,56800.0,61142.29
2025-10-29,57200.0,60758.51
2025-10-30,56900.0,60488.758
2025-10-31,55500.0,60295.09
2025-11-03,52300.0,60091.773
2025-11-04,53900.0,59726.67
2025-11-05,53500.0,59361.887
2025-11-06,51900.0,58980.188
2025-11-07,48350.0,58518.37
2025-11-10,48500.0,57835.71
2025-11-11,49650.0,57048.477
2025-11-12,50600.0,56278.26
2025-11-13,48700.0,55597.465
2025-11-14,48050.0,54903.336
2025-11-17,48900.0,54203.586
2025-11-18,49500.0,53577.234
2025-11-19,49500.0,53057.227
2025-11-20,49500.0,52632.09
2025-11-21,51300.0,52292.07
2025-11-24,50000.0,52122.49
2025-11-25,50000.0,52003.08
2025-11-26,49950.0,51928.61
2025-11-27,49300.0,51884.48
2025-11-28,48600.0,51827.246
2025-12-01,49000.0,51726.496
2025-12-02,49400.0,51621.902
2025-12-03,49700.0,51537.836
2025-12-04,50200.0,51486.07
2025-12-05,49200.0,51485.043
2025-12-08,48700.0,51464.35
2025-12-09,48550.0,51407.4
2025-12-10,48600.0,51320.324
2025-12-11,47700.0,51218.29
2025-12-12,46000.0,51061.188
2025-12-15,46800.0,50783.63
2025-12-16,47050.0,50481.883
2025-12-17,47200.0,50186.05
2025-12-18,48000.0,49914.93
2025-12-19,49000.0,49716.094
