Actual,Prediction,Date
23185.806640625,23486.346,2024-12-20
23283.2265625,23469.156,2024-12-23
23380.646484375,23443.256,2024-12-24
23819.033203125,23418.352,2024-12-25
23721.61328125,23421.709,2024-12-26
23965.162109375,23436.934,2024-12-27
23770.322265625,23474.525,2024-12-30
24013.87109375,23512.678,2024-12-31
23721.61328125,23564.379,2025-01-02
22990.96875,23603.818,2025-01-03
22990.96875,23589.166,2025-01-06
23039.677734375,23540.385,2025-01-07
23331.935546875,23473.617,2025-01-08
23331.935546875,23415.715,2025-01-09
22796.12890625,23366.21,2025-01-10
23185.806640625,23292.879,2025-01-13
22990.96875,23232.473,2025-01-14
23088.38671875,23171.086,2025-01-15
23234.517578125,23118.91,2025-01-16
23770.322265625,23084.377,2025-01-17
23770.322265625,23095.709,2025-01-20
23575.484375,23136.262,2025-01-21
23575.484375,23182.979,2025-01-22
23965.162109375,23231.918,2025-01-23
24111.291015625,23303.17,2025-01-24
23624.193359375,23393.463,2025-02-03
24013.87109375,23461.998,2025-02-04
24062.58203125,23537.076,2025-02-05
24549.677734375,23614.188,2025-02-06
25085.484375,23718.018,2025-02-07
25085.484375,23865.676,2025-02-10
25231.61328125,24033.805,2025-02-11
25036.775390625,24215.857,2025-02-12
25280.322265625,24385.033,2025-02-13
25329.033203125,24551.572,2025-02-14
25036.775390625,24709.21,2025-02-17
25182.904296875,24833.914,2025-02-18
25426.453125,24939.084,2025-02-19
25864.83984375,25039.404,2025-02-20
25816.12890625,25156.969,2025-02-21
25816.12890625,25275.344,2025-02-24
25718.7109375,25387.91,2025-02-25
25621.291015625,25484.098,2025-02-26
25572.58203125,25557.84,2025-02-27
25426.453125,25609.197,2025-02-28
25426.453125,25633.246,2025-03-03
26790.32421875,25637.553,2025-03-04
26595.484375,25712.203,2025-03-05
26985.162109375,25813.773,2025-03-06
27033.87109375,25953.266,2025-03-07
27082.58203125,26112.455,2025-03-10
27277.419921875,26279.064,2025-03-11
27131.291015625,26453.283,2025-03-12
26595.484375,26613.014,2025-03-13
26595.484375,26720.9,2025-03-14
26741.61328125,26789.12,2025-03-17
26692.904296875,26835.18,2025-03-18
26546.775390625,26859.72,2025-03-19
26741.61328125,26859.123,2025-03-20
26644.193359375,26853.94,2025-03-21
27277.419921875,26838.834,2025-03-24
27180.0,26857.525,2025-03-25
27277.419921875,26889.535,2025-03-26
27033.87109375,26935.305,2025-03-27
26839.033203125,26972.127,2025-03-28
26790.32421875,26989.34,2025-03-31
27228.7109375,26989.598,2025-04-01
27180.0,27005.574,2025-04-02
25280.322265625,27026.455,2025-04-03
25036.775390625,26930.932,2025-04-04
23331.935546875,26753.402,2025-04-08
22990.96875,26423.967,2025-04-09
24598.388671875,25994.646,2025-04-10
25913.548828125,25621.13,2025-04-11
25864.83984375,25381.184,2025-04-14
25329.033203125,25238.496,2025-04-15
25134.193359375,25137.951,2025-04-16
25329.033203125,25061.742,2025-04-17
25329.033203125,25018.748,2025-04-18
25085.484375,24999.975,2025-04-21
