Date,Actual,Prediction
2024-12-19,61358.1484375,62112.844
2024-12-20,61424.5546875,62022.18
2024-12-23,61358.1484375,61918.895
2024-12-24,61158.9375,61808.57
2024-12-25,61358.1484375,61688.168
2024-12-26,61158.9375,61580.082
2024-12-27,61225.34375,61474.277
2024-12-30,61092.53125,61380.715
2024-12-31,60561.2890625,61292.89
2025-01-02,61026.125,61183.117
2025-01-03,61092.53125,61093.26
2025-01-06,61690.17578125,61024.457
2025-01-07,61291.7421875,61009.215
2025-01-08,61358.1484375,61006.902
2025-01-09,61026.125,61019.152
2025-01-10,60694.1015625,61020.953
2025-01-13,61026.125,60996.67
2025-01-14,60893.31640625,60975.875
2025-01-15,60694.1015625,60949.484
2025-01-16,61557.36328125,60909.4
2025-01-17,61424.5546875,60913.47
2025-01-20,60893.31640625,60937.523
2025-01-21,60694.1015625,60943.684
2025-01-22,60561.2890625,60927.047
2025-01-23,61424.5546875,60887.996
2025-01-24,61490.9609375,60886.496
2025-02-03,60826.91015625,60912.332
2025-02-04,61092.53125,60916.84
2025-02-05,61490.9609375,60924.168
2025-02-06,61690.17578125,60955.41
2025-02-07,61756.58203125,61011.99
2025-02-10,61225.34375,61086.508
2025-02-11,61026.125,61137.96
2025-02-12,60760.50390625,61160.36
2025-02-13,60826.91015625,61145.895
2025-02-14,60826.91015625,61111.05
2025-02-17,60826.91015625,61063.574
2025-02-18,60826.91015625,61010.02
2025-02-19,60893.31640625,60955.395
2025-02-20,60893.31640625,60907.156
2025-02-21,61822.984375,60866.016
2025-02-24,62088.6015625,60886.97
2025-02-25,61490.9609375,60962.824
2025-02-26,61291.7421875,61037.105
2025-02-27,62420.62890625,61096.465
2025-02-28,61955.796875,61208.816
2025-03-03,61955.796875,61320.496
2025-03-04,61756.58203125,61427.113
2025-03-05,61756.58203125,61512.312
2025-03-06,62088.6015625,61578.24
2025-03-07,63151.08203125,61646.395
2025-03-10,64279.96875,61773.812
2025-03-11,64279.96875,61998.7
2025-03-12,66216.6640625,62275.895
2025-03-13,65025.36328125,62688.8
2025-03-14,65521.73828125,63096.754
2025-03-17,66812.3203125,63511.81
2025-03-18,66315.9453125,63982.316
2025-03-19,66018.1171875,64430.707
2025-03-20,66315.9453125,64822.387
2025-03-21,65521.73828125,65170.72
2025-03-24,66018.1171875,65420.645
2025-03-25,65720.2890625,65620.21
2025-03-26,65323.1875,65753.945
2025-03-27,65025.36328125,65812.25
2025-03-28,64330.43359375,65799.05
2025-03-31,63536.23046875,65697.086
2025-04-01,64032.609375,65494.965
2025-04-02,64330.43359375,65267.402
2025-04-03,59863.04296875,65050.863
2025-04-04,59565.21875,64587.965
2025-04-08,55395.65234375,63979.816
2025-04-09,52119.56640625,63057.074
2025-04-10,55693.4765625,61789.086
2025-04-11,59366.66796875,60576.61
2025-04-14,58870.2890625,59671.223
2025-04-15,59565.21875,58988.605
2025-04-16,58870.2890625,58544.363
2025-04-17,57678.984375,58249.703
2025-04-18,57678.984375,58009.055
2025-04-21,57778.26171875,57822.18
2025-04-22,58076.0859375,57687.25
2025-04-23,57579.7109375,57611.72
2025-04-24,57778.26171875,57551.312
2025-04-25,57083.33203125,57517.17
2025-04-28,57083.33203125,57461.707
2025-04-29,56884.78125,57395.926
2025-05-05,56686.23046875,57314.51
2025-05-06,56586.95703125,57215.453
2025-05-07,56586.95703125,57104.254
2025-05-08,56686.23046875,56990.96
2025-05-09,56189.85546875,56888.293
2025-05-12,56189.85546875,56769.883
2025-05-13,56388.40625,56648.535
2025-05-14,58274.63671875,56543.246
2025-05-15,58274.63671875,56563.355
2025-05-16,57083.33203125,56665.28
2025-05-19,56586.95703125,56750.797
2025-05-20,56686.23046875,56794.508
2025-05-21,56686.23046875,56812.656
2025-05-22,56487.6796875,56810.81
2025-05-23,56388.40625,56783.24
2025-05-26,56586.95703125,56733.934
2025-05-27,56388.40625,56683.91
2025-05-28,56388.40625,56624.24
2025-05-29,56289.12890625,56561.918
2025-05-30,55991.3046875,56495.555
2025-06-02,55792.75390625,56413.24
2025-06-03,56388.40625,56313.71
2025-06-04,56189.85546875,56242.49
2025-06-05,55892.02734375,56181.96
2025-06-06,55693.4765625,56115.902
2025-06-09,55494.92578125,56039.027
2025-06-10,55494.92578125,55947.777
2025-06-11,55296.375,55851.906
2025-06-12,55594.203125,55746.582
2025-06-13,55792.75390625,55658.133
2025-06-16,56189.85546875,55597.01
2025-06-17,56785.5078125,55580.863
2025-06-18,56289.12890625,55630.45
2025-06-19,56189.85546875,55693.504
2025-06-20,56686.23046875,55758.168
2025-06-23,56189.85546875,55848.78
2025-06-24,56189.85546875,55922.332
2025-06-25,56189.85546875,55980.973
2025-06-26,55991.3046875,56025.57
2025-06-27,56289.12890625,56046.227
2025-06-30,56586.95703125,56066.58
2025-07-01,57778.26171875,56101.953
2025-07-02,57579.7109375,56213.957
2025-07-03,57480.43359375,56359.258
2025-07-04,57976.8125,56515.207
2025-07-07,58175.36328125,56698.86
2025-07-08,58572.46484375,56901.664
2025-07-09,61054.34765625,57129.027
2025-07-10,60955.07421875,57503.66
2025-07-11,62245.65234375,57948.707
2025-07-14,61947.828125,58494.64
2025-07-15,60955.07421875,59060.223
2025-07-16,61352.17578125,59550.613
2025-07-17,61749.27734375,59986.07
2025-07-18,61451.44921875,60379.676
2025-07-21,60855.796875,60702.777
2025-07-22,61749.27734375,60924.312
2025-07-23,61650.0,61117.02
2025-07-24,61650.0,61270.26
2025-07-25,61550.7265625,61388.387
2025-07-28,62344.92578125,61470.14
2025-07-29,60557.97265625,61569.598
2025-07-30,60458.6953125,61568.168
2025-07-31,59763.76953125,61497.008
2025-08-01,59763.76953125,61340.273
2025-08-04,60657.24609375,61134.99
2025-08-05,61054.34765625,60960.113
2025-08-06,61848.55078125,60837.0
2025-08-07,61252.8984375,60803.1
2025-08-08,61451.44921875,60796.42
2025-08-11,62047.1015625,60823.258
2025-08-12,62543.4765625,60906.234
2025-08-13,62047.1015625,61050.805
2025-08-14,64727.53515625,61199.453
2025-08-15,63834.05859375,61501.863
2025-08-18,64032.609375,61833.31
2025-08-19,63734.78125,62181.582
2025-08-20,62543.4765625,62503.46
2025-08-21,63734.78125,62718.816
2025-08-22,64131.8828125,62921.492
2025-08-25,63139.12890625,63122.715
2025-08-26,64131.8828125,63251.727
2025-08-27,68599.2734375,63385.777
2025-08-28,68500.0,63776.223
2025-08-29,68102.8984375,64302.875
2025-09-03,66514.4921875,64873.664
2025-09-04,68400.7265625,65350.95
2025-09-05,67010.8671875,65852.46
2025-09-08,64826.8125,66252.08
2025-09-09,64429.7109375,66433.26
2025-09-10,65323.1875,66436.336
2025-09-11,65223.9140625,66369.51
2025-09-12,65323.1875,66248.64
2025-09-15,65323.1875,66104.266
2025-09-16,65124.63671875,65952.39
2025-09-17,64330.43359375,65792.945
2025-09-18,63436.95703125,65591.47
2025-09-19,62543.4765625,65322.44
2025-09-22,61550.7265625,64971.867
2025-09-23,61749.27734375,64528.414
2025-09-24,62245.65234375,64060.52
2025-09-25,62543.4765625,63630.176
2025-09-26,62543.4765625,63265.88
