Date,Actual,Prediction
2024-11-25,60627.6953125,60460.66
2024-11-26,61358.1484375,60366.574
2024-11-27,61557.36328125,60364.52
2024-11-28,61490.9609375,60435.562
2024-11-29,61955.796875,60545.324
2024-12-02,62553.44140625,60704.684
2024-12-03,61756.58203125,60925.516
2024-12-04,62088.6015625,61117.164
2024-12-05,62420.62890625,61300.477
2024-12-06,62553.44140625,61487.605
2024-12-09,63283.89453125,61673.234
2024-12-10,62752.65625,61894.863
2024-12-11,61955.796875,62088.227
2024-12-12,62088.6015625,62197.023
2024-12-13,61822.984375,62253.1
2024-12-16,61822.984375,62252.285
2024-12-17,61756.58203125,62214.79
2024-12-18,61822.984375,62151.312
2024-12-19,61358.1484375,62079.81
2024-12-20,61424.5546875,61976.24
2024-12-23,61358.1484375,61863.965
2024-12-24,61158.9375,61748.707
2024-12-25,61358.1484375,61625.766
2024-12-26,61158.9375,61519.81
2024-12-27,61225.34375,61418.07
2024-12-30,61092.53125,61330.742
2024-12-31,60561.2890625,61249.434
2025-01-02,61026.125,61141.668
2025-01-03,61092.53125,61056.043
2025-01-06,61690.17578125,60994.152
2025-01-07,61291.7421875,60992.496
2025-01-08,61358.1484375,61002.61
2025-01-09,61026.125,61025.125
2025-01-10,60694.1015625,61031.504
2025-01-13,61026.125,61004.844
2025-01-14,60893.31640625,60981.184
2025-01-15,60694.1015625,60951.47
2025-01-16,61557.36328125,60906.684
2025-01-17,61424.5546875,60913.895
2025-01-20,60893.31640625,60944.426
2025-01-21,60694.1015625,60952.84
2025-01-22,60561.2890625,60933.496
2025-01-23,61424.5546875,60888.32
2025-01-24,61490.9609375,60887.84
2025-02-03,60826.91015625,60919.875
2025-02-04,61092.53125,60926.434
2025-02-05,61490.9609375,60934.93
2025-02-06,61690.17578125,60970.457
2025-02-07,61756.58203125,61034.293
2025-02-10,61225.34375,61116.79
2025-02-11,61026.125,61169.99
2025-02-12,60760.50390625,61187.676
2025-02-13,60826.91015625,61162.914
2025-02-14,60826.91015625,61116.8
2025-02-17,60826.91015625,61059.617
2025-02-18,60826.91015625,60999.137
2025-02-19,60893.31640625,60940.633
2025-02-20,60893.31640625,60891.93
2025-02-21,61822.984375,60852.848
2025-02-24,62088.6015625,60885.668
2025-02-25,61490.9609375,60980.027
2025-02-26,61291.7421875,61067.926
2025-02-27,62420.62890625,61133.1
2025-02-28,61955.796875,61255.395
2025-03-03,61955.796875,61373.574
2025-03-04,61756.58203125,61482.188
2025-03-05,61756.58203125,61563.527
2025-03-06,62088.6015625,61621.76
2025-03-07,63151.08203125,61683.355
2025-03-10,64279.96875,61814.535
2025-03-11,64279.96875,62057.496
2025-03-12,66216.6640625,62356.234
2025-03-13,65025.36328125,62802.83
2025-03-14,65521.73828125,63232.63
2025-03-17,66812.3203125,63658.035
2025-03-18,66315.9453125,64137.34
2025-03-19,66018.1171875,64583.434
2025-03-20,66315.9453125,64958.137
2025-03-21,65521.73828125,65280.777
2025-03-24,66018.1171875,65492.61
2025-03-25,65720.2890625,65652.75
2025-03-26,65323.1875,65746.75
2025-03-27,65025.36328125,65765.01
2025-03-28,64330.43359375,65713.11
2025-03-31,63536.23046875,65572.195
2025-04-01,64032.609375,65330.113
2025-04-02,64330.43359375,65073.58
2025-04-03,59863.04296875,64843.637
2025-04-04,59565.21875,64341.867
2025-04-08,55395.65234375,63686.332
2025-04-09,52119.56640625,62688.934
2025-04-10,55693.4765625,61322.133
2025-04-11,59366.66796875,60056.863
2025-04-14,58870.2890625,59178.984
2025-04-15,59565.21875,58571.348
2025-04-16,58870.2890625,58230.28
2025-04-17,57678.984375,58039.117
2025-04-18,57678.984375,57880.2
2025-04-21,57778.26171875,57754.062
2025-04-22,58076.0859375,57663.594
2025-04-23,57579.7109375,57622.23
2025-04-24,57778.26171875,57582.34
2025-04-25,57083.33203125,57560.5
2025-04-28,57083.33203125,57505.293
2025-04-29,56884.78125,57433.16
2025-05-05,56686.23046875,57341.594
2025-05-06,56586.95703125,57230.707
2025-05-07,56586.95703125,57108.492
2025-05-08,56686.23046875,56987.45
2025-05-09,56189.85546875,56882.246
2025-05-12,56189.85546875,56761.4
2025-05-13,56388.40625,56639.164
2025-05-14,58274.63671875,56537.465
2025-05-15,58274.63671875,56582.137
2025-05-16,57083.33203125,56718.613
2025-05-19,56586.95703125,56827.68
2025-05-20,56686.23046875,56879.34
2025-05-21,56686.23046875,56896.305
2025-05-22,56487.6796875,56888.887
2025-05-23,56388.40625,56852.7
2025-05-26,56586.95703125,56793.746
2025-05-27,56388.40625,56737.305
2025-05-28,56388.40625,56672.902
2025-05-29,56289.12890625,56607.984
2025-05-30,55991.3046875,56540.438
2025-06-02,55792.75390625,56455.85
2025-06-03,56388.40625,56352.69
2025-06-04,56189.85546875,56284.105
2025-06-05,55892.02734375,56228.86
2025-06-06,55693.4765625,56166.58
2025-06-09,55494.92578125,56090.766
2025-06-10,55494.92578125,55997.848
2025-06-11,55296.375,55899.918
2025-06-12,55594.203125,55791.848
2025-06-13,55792.75390625,55704.363
2025-06-16,56189.85546875,55649.152
2025-06-17,56785.5078125,55645.273
2025-06-18,56289.12890625,55714.953
