Actual,Prediction,Date
18650.0,18298.217,2025-07-03
18750.0,18309.584,2025-07-04
19300.0,18328.977,2025-07-07
19600.0,18380.074,2025-07-08
20050.0,18463.664,2025-07-09
20150.0,18585.78,2025-07-10
20150.0,18729.895,2025-07-11
21000.0,18878.48,2025-07-14
20750.0,19063.064,2025-07-15
20850.0,19245.453,2025-07-16
20900.0,19418.877,2025-07-17
21350.0,19576.576,2025-07-18
22300.0,19735.898,2025-07-21
22500.0,19934.03,2025-07-22
23350.0,20153.78,2025-07-23
23500.0,20416.709,2025-07-24
24050.0,20696.896,2025-07-25
25100.0,20997.53,2025-07-28
23600.0,21345.336,2025-07-29
25250.0,21618.926,2025-07-30
25800.0,21913.371,2025-07-31
25800.0,22227.465,2025-08-01
26400.0,22531.434,2025-08-04
26500.0,22839.121,2025-08-05
27100.0,23131.299,2025-08-06
28950.0,23424.277,2025-08-07
29550.0,23795.814,2025-08-08
29600.0,24221.5,2025-08-11
29600.0,24653.957,2025-08-12
28800.0,25059.371,2025-08-13
30800.0,25372.996,2025-08-14
31100.0,25715.271,2025-08-15
32000.0,26061.842,2025-08-18
34200.0,26435.002,2025-08-19
36550.0,26917.504,2025-08-20
38650.0,27559.982,2025-08-21
35950.0,28369.424,2025-08-22
33500.0,29072.406,2025-08-25
34300.0,29527.848,2025-08-26
33300.0,29841.229,2025-08-27
34000.0,29976.967,2025-08-28
35000.0,30028.994,2025-08-29
34500.0,30073.125,2025-09-03
34900.0,30073.977,2025-09-04
33500.0,30069.617,2025-09-05
31200.0,29978.795,2025-09-08
32400.0,29712.357,2025-09-09
32450.0,29426.295,2025-09-10
32250.0,29140.809,2025-09-11
31600.0,28862.361,2025-09-12
31550.0,28570.562,2025-09-15
31700.0,28289.248,2025-09-16
31000.0,28041.738,2025-09-17
30800.0,27792.484,2025-09-18
30400.0,27550.887,2025-09-19
29500.0,27308.879,2025-09-22
29900.0,27034.203,2025-09-23
31600.0,26783.59,2025-09-24
30950.0,26660.031,2025-09-25
30400.0,26585.564,2025-09-26
31100.0,26521.723,2025-09-29
31100.0,26511.488,2025-09-30
30900.0,26534.994,2025-10-01
30150.0,26568.887,2025-10-02
29500.0,26566.838,2025-10-03
31550.0,26508.494,2025-10-06
31050.0,26535.168,2025-10-07
31100.0,26580.322,2025-10-08
32100.0,26640.613,2025-10-09
32100.0,26763.066,2025-10-10
31700.0,26914.549,2025-10-13
32500.0,27052.941,2025-10-14
33700.0,27219.9,2025-10-15
33200.0,27458.209,2025-10-16
31950.0,27694.377,2025-10-17
29750.0,27845.057,2025-10-20
30350.0,27810.262,2025-10-21
30450.0,27698.566,2025-10-22
30000.0,27546.041,2025-10-23
29200.0,27351.219,2025-10-24
28300.0,27098.719,2025-10-27
29450.0,26778.035,2025-10-28
29850.0,26502.592,2025-10-29
29200.0,26293.074,2025-10-30
28700.0,26103.676,2025-10-31
27600.0,25915.443,2025-11-03
29500.0,25681.342,2025-11-04
29250.0,25543.65,2025-11-05
28500.0,25457.986,2025-11-06
27500.0,25372.701,2025-11-07
27500.0,25241.115,2025-11-10
27500.0,25092.074,2025-11-11
28000.0,24942.164,2025-11-12
27750.0,24830.549,2025-11-13
27800.0,24737.152,2025-11-14
28100.0,24666.818,2025-11-17
28800.0,24633.78,2025-11-18
28100.0,24666.205,2025-11-19
28550.0,24699.436,2025-11-20
28550.0,24758.912,2025-11-21
29000.0,24830.646,2025-11-24
28200.0,24931.115,2025-11-25
29000.0,24998.373,2025-11-26
29100.0,25086.518,2025-11-27
29250.0,25185.557,2025-11-28
29300.0,25293.432,2025-12-01
28900.0,25402.26,2025-12-02
30250.0,25481.988,2025-12-03
30250.0,25613.457,2025-12-04
29850.0,25765.389,2025-12-05
29700.0,25898.291,2025-12-08
28750.0,26002.32,2025-12-09
29000.0,26027.283,2025-12-10
28150.0,26015.342,2025-12-11
26550.0,25931.006,2025-12-12
27500.0,25718.219,2025-12-15
28250.0,25493.803,2025-12-16
28000.0,25314.912,2025-12-17
28300.0,25161.906,2025-12-18
28450.0,25054.238,2025-12-19
