Price,Date,Close,High,Low,Open,Volume
0,2020-11-26,10515.9150390625,10631.052833971484,10362.397979183856,10477.53577409284,25156125
1,2020-11-27,10439.15625,10592.673306068007,10439.15625,10554.294042051006,15970407
2,2020-11-30,10439.15625,10515.914778034004,10362.397721965996,10515.914778034004,21254075
3,2020-12-01,10477.5361328125,10477.5361328125,10285.639801394234,10439.156866528849,22004479
4,2020-12-09,10957.2763671875,11110.793430236752,10669.43142864206,10784.569225928995,57510292
5,2020-12-10,10727.0,11053.223290155289,10707.809923172916,11053.223290155289,24820559
6,2020-12-11,10822.9482421875,10842.138319954356,10669.43118267731,10784.568977309951,10598167
7,2020-12-14,10822.9482421875,10938.08603682014,10784.568977309951,10861.327507065049,17884442
8,2020-12-15,10746.189453125,10842.138058331697,10707.810189173551,10822.9479810279,20178920
9,2020-12-16,10842.1376953125,10918.896220645349,10746.18909331838,10746.18909331838,25182240
10,2020-12-17,10861.3271484375,11072.413543622282,10765.379434739789,10784.568621216877,33903842
11,2020-12-18,10899.70703125,10995.655641054598,10861.3277654594,10918.897109473395,27788356
12,2020-12-21,11110.7939453125,11245.120936379652,10880.518340063474,10938.086796047615,54090489
13,2020-12-22,11034.0341796875,11129.981892512827,10976.4648394674,11110.792706210214,18104945
14,2020-12-23,10784.5693359375,11072.414277419117,10746.190069783695,11053.224199014116,26655376
15,2020-12-24,10477.5361328125,10861.327904992831,10170.502002543277,10784.569372425523,37620860
16,2020-12-25,10727.0,10746.18918617096,10439.155972842753,10477.535235840793,21848508
17,2020-12-28,10669.431640625,10861.327973249208,10611.86318616584,10861.327973249208,15027384
18,2020-12-29,10631.052734375,10727.000450572186,10592.673469764894,10669.431108328949,15450948
19,2020-12-30,10669.431640625,10822.948706724366,10650.242452690682,10650.242452690682,16019778
20,2020-12-31,10784.5693359375,10861.327868245104,10688.621615881091,10707.810803629896,16099124
21,2021-01-04,10995.6552734375,11072.41380245244,10938.085931348216,10957.27600893003,25608443
22,2021-01-05,11264.3095703125,11360.257281528437,10861.326867499663,10976.464655352458,44780022
23,2021-01-06,11475.3955078125,11744.050356399966,11245.119923308956,11398.636979644652,37745976
24,2021-01-07,11475.3955078125,11513.774771896424,11360.257715560729,11475.3955078125,27651644
25,2021-01-08,11590.533203125,11667.291730650866,11437.01614807327,11494.58548904574,37081544
26,2021-01-11,11648.103515625,11859.189038598965,11571.344981696977,11705.671970742913,23340201
27,2021-01-12,11552.154296875,11628.912826776368,11494.58584477706,11609.72363962911,22146790
28,2021-01-13,11456.2060546875,11648.10237064462,11398.6367145723,11628.912293720845,23764383
29,2021-01-14,11456.2060546875,11475.395240955148,11206.74039861518,11475.395240955148,20249499
30,2021-01-15,11609.7236328125,11667.29208487664,11494.585838028052,11513.77502516404,19448425
31,2021-01-18,11494.5859375,11705.671451103432,11475.395859541775,11648.102998541106,20006870
32,2021-01-19,10707.8095703125,11475.394804978663,10707.8095703125,11437.015543245354,31076701
33,2021-01-20,10861.3271484375,10861.3271484375,10093.742766887404,10746.189357606563,29283971
34,2021-01-21,11110.7939453125,11168.362401296645,10880.518340063474,11053.22459867213,15719667
35,2021-01-22,10995.6552734375,11168.361518393036,10938.085931348216,11091.602989378096,12922920
36,2021-01-25,10784.5693359375,10938.08640055271,10765.380148188697,10861.327868245104,18259053
37,2021-01-26,10669.431640625,10995.655851414258,10554.29473170668,10765.380252265208,19429651
38,2021-01-27,10554.2939453125,10880.517241138848,10439.156154316825,10669.430845652038,15179519
39,2021-01-28,9825.0888671875,10247.260807531002,9825.0888671875,9978.60593640332,45719402
40,2021-01-29,10285.638671875,10324.017933944027,9402.915644287365,9402.915644287365,18110768
41,2021-02-01,10228.0703125,10515.915250899,10093.743327728338,10285.639656442276,17889764
42,2021-02-02,10496.724609375,10515.914686544618,10112.931972544007,10228.069763593305,15790008
43,2021-02-03,10784.5693359375,10822.948602091305,10439.156831209471,10496.72528511208,16764081
44,2021-02-04,10822.9482421875,10822.9482421875,10669.43118267731,10784.568977309951,10101460
45,2021-02-05,10938.0859375,10995.655279621662,10803.758956976384,10822.948143912834,19487634
46,2021-02-08,10554.2939453125,11034.03429579975,10439.156154316825,10938.085691308615,13920994
47,2021-02-09,10957.2763671875,10957.2763671875,10477.535990486682,10554.294522011309,14150790
48,2021-02-17,11283.4990234375,11321.878286963753,11014.844178753734,11053.223442279988,16470125
49,2021-02-18,11187.5517578125,11302.68955300048,11053.223884765106,11283.499475141063,13183844
50,2021-02-19,11935.947265625,11955.1364532855,11091.603414126828,11129.982680104018,74228678
51,2021-02-22,12127.8427734375,12358.11835369164,11935.946456559048,12089.463510061809,30090272
52,2021-02-23,12166.22265625,12377.30817023554,12070.274047597535,12223.791108916535,33152696
53,2021-02-24,11974.326171875,12223.79094790433,11897.567642226564,12147.032418255894,44478341
54,2021-02-25,12434.876953125,12454.06613959694,11935.946526324771,12089.46358072484,35856479
55,2021-02-26,12684.341796875,12799.479588361994,12242.980708169596,12242.980708169596,31062444
56,2021-03-01,12761.1005859375,12837.859115167854,12626.77360511246,12818.669928188348,20115708
57,2021-03-02,12665.1533203125,12837.859571897045,12588.394788351328,12818.670384234843,24346117
58,2021-03-03,12761.1005859375,12837.859115167854,12550.015075882106,12626.77360511246,21559114
59,2021-03-04,12434.876953125,12818.669589125177,12300.54908519687,12818.669589125177,23404601
60,2021-03-05,12454.06640625,12511.635748210709,12127.843103993177,12319.739426101942,24136758
61,2021-03-08,12204.6015625,12550.014940305116,12108.652956670505,12473.256411903978,38439875
62,2021-03-09,12300.548828125,12396.497430447862,11935.94627687281,12089.463328064494,20959318
63,2021-03-10,12569.2041015625,12741.911235442549,12242.98080184796,12319.739330093282,266629584
64,2021-03-11,12665.1533203125,12703.532586293088,12569.204710032938,12665.1533203125,16929950
65,2021-03-12,12645.962890625,12684.342155539214,12530.825095882354,12665.152968410192,12393941
66,2021-03-15,12857.048828125,12991.375805139976,12511.635456385742,12665.152510492078,43350876
67,2021-03-16,12837.8583984375,12933.806999946766,12684.34134854756,12818.669212529312,15966572
68,2021-03-17,12857.048828125,12876.238014560224,12741.911037545247,12837.85875103364,16452301
69,2021-03-18,13029.755859375,13144.89365694187,12857.04960835279,13010.566671775285,37340569
70,2021-03-19,12972.1865234375,13125.702685760283,12933.807260192772,13029.754972976529,35667415
71,2021-03-22,12818.669921875,13087.323883392764,12799.479844248785,13068.134696422709,21451702
72,2021-03-23,12665.1533203125,12876.238837877629,12588.394788351328,12876.238837877629,24588269
73,2021-03-24,12454.06640625,12569.20419951526,12300.549348562989,12434.8772193672,23957583
74,2021-03-25,12300.548828125,12511.635218841624,12242.980379256178,12454.065879316684,20678669
75,2021-03-26,12454.06640625,12454.06640625,12031.894497610716,12281.36016168019,20326254
76,2021-03-29,12665.1533203125,12703.532586293088,12434.877724428983,12626.774054331914,17683259
77,2021-03-30,12780.291015625,12857.04954696978,12569.20460909876,12703.532484280218,25185213
78,2021-03-31,12780.291015625,12972.18734398695,12761.100937460713,12857.04954696978,12701917
79,2021-04-01,12991.3759765625,12991.3759765625,12780.290469709062,12837.858920430492,28662789
80,2021-04-02,13298.41015625,13432.737135718478,13048.94449344261,13125.703021897783,33220184
81,2021-04-05,13336.7900390625,13547.875556776688,13279.220694722871,13547.875556776688,17664723
82,2021-04-06,13336.7900390625,13413.548571077876,13106.514443016373,13317.59996073056,18364565
83,2021-04-07,13202.4619140625,13317.599709917147,13164.082648777618,13240.841179347382,15210886
84,2021-04-08,13202.4619140625,13317.599709917147,13125.703383492735,13183.272726748148,12302213
85,2021-04-09,13202.4619140625,13279.220444632265,13125.703383492735,13164.082648777618,14475638
86,2021-04-12,13490.306640625,13509.495827642912,13221.651787781082,13279.220239490982,29807959
87,2021-04-13,13279.2197265625,13624.633095448318,13202.461200143429,13567.064645962078,24674055
88,2021-04-14,13279.2197265625,13336.789066704869,13106.513487447652,13164.081936933891,12942170
89,2021-04-15,12991.3759765625,13317.599275514947,12972.186789874071,13298.41008882652,23019154
90,2021-04-16,12703.5322265625,13068.134797725388,12550.015166987354,12972.187080819003,19969561
91,2021-04-19,12933.80859375,12952.997782022829,12588.395188933146,12857.050059346257,10246655
92,2021-04-20,12895.4287109375,13202.461943238904,12741.911649458709,13048.944881760111,17579412
93,2021-04-22,12473.2568359375,12895.42875649566,12473.2568359375,12818.670225485088,19055373
94,2021-04-23,12818.669921875,12837.859108845058,12319.739482123428,12434.877275912251,16573971
95,2021-04-26,12780.291015625,12818.670281297387,12511.636155918268,12818.670281297387,16917592
96,2021-04-27,13048.9443359375,13048.9443359375,12530.82472044703,12665.152588950275,15546193
97,2021-04-28,12972.1865234375,13164.081949005013,12818.669470458588,12857.048733703316,15078524
98,2021-04-29,13298.41015625,13298.41015625,12895.428327188414,12972.186855643587,43488229
99,2021-05-04,13221.65234375,13336.790142667494,12857.049759172696,13048.945200045657,32944052
100,2021-05-05,13547.875,13758.961399695369,13279.220148987088,13279.220148987088,49186997
101,2021-05-06,13355.9794921875,13567.065904753208,13298.411037359894,13547.875826039866,48077709
102,2021-05-07,13509.49609375,13586.254624645948,13240.841235614176,13240.841235614176,32329523
103,2021-05-10,13893.2890625,13950.858407302288,13509.496399338752,13509.496399338752,32060280
104,2021-05-11,13739.771484375,13970.047073676318,13739.771484375,13970.047073676318,30362841
105,2021-05-12,13874.099609375,13874.099609375,13586.25467218002,13643.82401588149,21870418
106,2021-05-13,13893.2890625,14181.134005199036,13701.392730919377,13701.392730919377,28253340
107,2021-05-14,13989.2373046875,14085.185022619333,13835.720243471627,13970.047226707427,15854953
108,2021-05-17,14027.6162109375,14277.08098369985,13989.236946615894,14200.32245505664,26992440
109,2021-05-18,13912.478515625,14046.805496365385,13778.150644228455,14046.805496365385,18728384
110,2021-05-19,14046.8056640625,14085.18492911168,13778.150808718246,13893.288603865783,19351943
111,2021-05-20,14353.83984375,14392.21910895772,14046.805722088244,14046.805722088244,29141864
112,2021-05-21,14392.21875,14699.252864003987,14315.460221499005,14353.8394857495,21735440
113,2021-05-24,14392.21875,14526.545729548669,14296.270144045677,14526.545729548669,19208410
114,2021-05-25,14584.115234375,14680.06295074634,14315.460381616622,14392.218910976158,20810795
115,2021-05-26,14756.8212890625,14833.579817428314,14603.304232330876,14603.304232330876,24276966
116,2021-05-27,14660.873046875,15025.475598177076,14545.735258465484,14776.010835284516,22698344
117,2021-05-28,14929.529296875,14929.529296875,14603.3050869019,14660.874431873235,23516529
118,2021-05-31,15889.009765625,15908.19806141563,14967.907440433011,15159.802867525206,38245964
119,2021-06-01,16157.6640625,16464.698177409133,16119.285688792514,16311.181119954566,26519780
120,2021-06-02,17117.146484375,17117.146484375,16311.182743187916,16368.751200134318,38767103
121,2021-06-03,17616.076171875,17769.593229883438,17117.144842691425,17769.593229883438,29147805
122,2021-06-04,17385.80078125,17616.07637086382,17270.662095786924,17270.662095786924,23429078
123,2021-06-07,16503.078125,17232.283248087577,16215.232309906422,17232.283248087577,43974672
124,2021-06-08,15428.458984375,16656.593667007914,15428.458984375,16330.3712547567,35557106
125,2021-06-09,16291.9912109375,16349.561444062589,15351.700560287967,15428.459089809092,29859288
126,2021-06-10,16359.1552734375,16958.830494310092,16359.1552734375,16551.050702844303,29367524
127,2021-06-11,16623.013671875,16838.89805360955,16215.233843244416,16503.07968555715,18121795
128,2021-06-14,16359.1552734375,16742.9479135634,16239.219516738063,16623.012156863966,24209912
129,2021-06-15,16958.83203125,17366.611859671935,16071.312695177225,16359.15675603022,36459555
130,2021-06-16,16647.0,17006.805503738382,16551.051390653134,16958.83119906495,18966831
131,2021-06-17,16742.947265625,16790.921566448207,16167.25743705873,16311.180339528351,12192473
132,2021-06-18,16790.923828125,17030.793583238406,16742.949520839826,16886.870661382884,17518958
133,2021-06-21,16670.986328125,16886.868907169868,16623.01202582341,16742.947781577383,10356397
134,2021-06-22,17102.75390625,17270.662189264018,16718.961254816368,16886.86953783039,28620014
135,2021-06-23,17174.71484375,17462.55887830486,17126.740541105475,17222.687365082234,19864147
136,2021-06-24,17366.611328125,17486.547092023015,17078.767276082162,17270.662717006588,22133863
137,2021-06-25,17438.572265625,17558.50802594089,17294.649353245935,17366.610809435468,15083276
138,2021-06-28,17606.48046875,17654.45477265836,17414.585034428914,17606.48046875,15147343
139,2021-06-29,17486.546875,17726.41661850664,17486.546875,17702.42946602474,13560121
140,2021-06-30,17126.740234375,17510.532867345395,17078.765932589667,17462.558565560063,18303730
141,2021-07-01,17246.67578125,17366.611546657223,16838.897741490287,17054.780337910866,19758446
142,2021-07-02,17318.634765625,17462.557663546784,17270.66046631774,17414.583364239523,12830101
143,2021-07-05,18206.15625,18278.11770097598,17222.68664928603,17414.58385188865,34726708
144,2021-07-06,17270.662109375,18326.09145060729,17270.662109375,18230.144624176966,18849913
145,2021-07-07,17534.521484375,17702.429773350937,16838.897612948094,17270.662802493312,18865693
146,2021-07-08,17366.611328125,17846.352602404662,17270.662717006588,17534.521397582223,14040336
147,2021-07-09,16886.869140625,17558.507600820136,16311.181067671803,17270.66178303123,20447023
148,2021-07-12,15711.5068359375,16670.987611919874,15711.5068359375,16551.05184692992,33827301
149,2021-07-13,15783.4677734375,15975.363209768684,15495.62194697219,15975.363209768684,13139788
150,2021-07-14,15231.7646484375,15831.439874980866,14919.93345938246,15783.467353159736,20551771
151,2021-07-15,15711.5068359375,15807.453666617044,15039.870114618596,15063.857267616586,16494077
152,2021-07-16,16119.28515625,16119.28515625,15735.492525293172,15903.400799348645,11252193
153,2021-07-19,15423.662109375,15903.401585811149,15327.713501562836,15783.46760735828,19815099
154,2021-07-20,16263.20703125,16263.20703125,15351.700603916412,15591.570341359497,16642743
155,2021-07-21,16215.232421875,16551.050760490765,16191.245270451567,16335.168178992166,15549614
156,2021-07-22,16359.1552734375,16503.078181476823,15927.388330631826,16215.232365398177,14056875
157,2021-07-23,15831.439453125,16383.142143146171,15831.439453125,16263.20638850847,13365829
158,2021-07-26,15687.51953125,15879.414972065988,15375.688326603771,15639.545225717904,15706645
159,2021-07-27,15903.4013671875,16071.311428550534,15831.439912317628,15855.42706394092,11225766
160,2021-07-28,15903.4013671875,16119.285731797116,15855.42706394092,15927.38851881079,9213460
161,2021-07-29,16383.142578125,16407.129729689408,15975.36278284236,16047.324237535586,14520553
162,2021-07-30,17342.625,17342.625,16455.10564888969,16455.10564888969,76980418
163,2021-08-02,17054.78125,17270.663857965974,16958.832632542893,17030.794095635723,19199429
164,2021-08-03,17174.71484375,17174.71484375,16790.92220390609,17006.80478449416,20047261
165,2021-08-04,17030.791015625,17270.66073457492,16934.84241552015,17270.66073457492,30202675
166,2021-08-05,17270.662109375,17318.63641324633,16934.843763588015,16958.83091552368,26397446
167,2021-08-06,17054.78125,17342.625321058804,17006.806941271447,17318.638166694527,15755693
168,2021-08-09,17510.53515625,17678.443453134678,16862.885560114468,16982.81954894281,35662997
169,2021-08-10,17510.53515625,17678.443453134678,17366.612232080995,17654.45629910651,19881066
170,2021-08-11,17270.662109375,17630.467607097653,17270.662109375,17510.53362873166,31345613
171,2021-08-12,16934.84375,17270.662095517535,16934.84375,17174.715269164193,23661773
172,2021-08-13,16958.83203125,17006.806338277576,16455.10537008537,16886.870570708637,33413812
173,2021-08-16,17126.740234375,17270.661358418736,16694.973299619272,16958.830178126336,32446573
174,2021-08-17,17078.767578125,17366.61163525844,16982.81896530971,17270.66302244315,17239306
175,2021-08-18,17054.78125,17174.717021821383,16934.845478178617,17006.806941271447,18143277
176,2021-08-19,16934.84375,17054.7795095821,16766.9354678974,17030.79235766568,19729550
177,2021-08-20,16119.28515625,16958.830089151856,15855.42649781501,16934.842938385038,39825441
178,2021-08-23,15351.701171875,16119.28649766561,15351.701171875,16071.312192139649,46758920
179,2021-08-24,15495.6220703125,15591.570679897992,15207.778022868397,15351.700937246636,18218370
180,2021-08-25,15567.583984375,15591.57113747534,15303.727081583667,15447.648218873292,9250150
181,2021-08-26,15327.712890625,15639.544072273113,15255.751437634144,15615.55692127616,9552615
182,2021-08-27,15231.7646484375,15279.73895157094,14776.011440638296,15207.777496870782,15339924
