Price,Date,Close,High,Low,Open,Volume
0,2020-11-26,24567.04296875,24567.04296875,23644.337229303965,23817.34419326837,7470981
1,2020-11-27,24480.5390625,24711.216951191367,24249.86310544452,24682.381490741493,3984895
2,2020-11-30,24048.021484375,24509.3753456072,24048.021484375,24480.539884189457,3100957
3,2020-12-01,24048.021484375,24105.69047557453,23529.00056357922,23644.33854597828,4996459
4,2020-12-02,23932.68359375,24221.03048248932,23875.014602329327,24076.857038119662,3143710
5,2020-12-03,23990.3515625,24163.36046102288,23875.01358457533,23961.518033836768,3321499
6,2020-12-04,24019.1875,24394.03690152043,23932.68304901993,23990.352039128007,4395488
7,2020-12-07,24797.71875,24913.056725182312,24134.5244268838,24221.02887408845,7067024
8,2020-12-08,24624.712890625,24970.72683167633,24480.53944936899,24970.72683167633,3690129
9,2020-12-09,25259.07421875,25374.41220140437,24653.54884399657,24740.051365169376,6310730
10,2020-12-10,25345.576171875,25835.763552987923,25201.4046626062,25259.073652640905,6569739
11,2020-12-11,26412.455078125,26412.455078125,25143.73538046496,25316.74234855916,7832097
12,2020-12-14,26816.140625,26844.974154606,26441.291218670507,26614.29819121429,5034221
13,2020-12-15,26585.462890625,27104.48574302867,26441.29137845194,26614.29835204118,5869216
14,2020-12-16,27335.16015625,27363.995616029457,26585.461381614143,26585.461381614143,5304429
15,2020-12-17,26758.46875,27450.498547177,26758.46875,26989.146636816244,6649845
16,2020-12-18,27104.484375,27392.829316428604,26758.468513649823,26931.47741014284,4171687
17,2020-12-21,27363.99609375,27681.176498682184,26816.139733098367,27681.176498682184,4246630
18,2020-12-22,27017.98046875,27363.99633704145,26873.80896096145,27363.99633704145,4690786
19,2020-12-23,26873.80859375,27392.829491641296,26758.46868480496,27104.48454836836,3611035
20,2020-12-24,26239.44921875,26989.148043805137,25316.74341829044,26873.810060202188,5376682
21,2020-12-25,26873.80859375,26931.477582404583,25951.10284364072,26239.447786913664,2680296
22,2020-12-28,27363.99609375,27681.176498682184,26989.146699887955,27075.649217464816,5412867
23,2020-12-29,27883.017578125,28056.0245485382,27277.49221586085,27277.49221586085,5198480
24,2020-12-30,27710.009765625,28142.52814433204,27681.17623725032,27911.85219079117,2473232
25,2020-12-31,27623.505859375,27623.505859375,27104.48495372164,27248.658393332185,2302115
26,2021-01-04,27825.34765625,27940.68563266335,27537.002715216626,27537.002715216626,3419270
27,2021-01-05,27623.505859375,27738.845770044973,27479.334351400343,27623.505859375,3696920
28,2021-01-06,28142.529296875,29180.573061956533,27421.66594671981,27854.18434314011,6301589
29,2021-01-07,28200.197265625,28776.88908383096,27969.521310996963,28142.52827696799,3055184
30,2021-01-08,27969.521484375,28430.873396490908,27796.51451733153,28430.873396490908,3489754
31,2021-01-11,27825.34765625,28027.19008079129,27623.50523170871,27969.52109258461,4731207
32,2021-01-12,28113.6953125,28257.86682121709,27623.506001627007,27825.348431794017,3754542
33,2021-01-13,27940.685546875,28373.203922915,27911.85201867812,28142.52797079656,2830012
34,2021-01-14,28171.36328125,28257.865797017814,27681.175919779627,27969.52085839872,3266638
35,2021-01-15,28171.36328125,28546.21266727274,28171.36328125,28430.87276018927,4123942
36,2021-01-18,28056.0234375,28257.86586080692,28027.18990939092,28200.19687295292,2889864
37,2021-01-19,26095.275390625,28027.191416724178,26095.275390625,28027.191416724178,6532078
38,2021-01-20,26239.44921875,26816.14106840072,24509.375601433825,26095.27577342833,3955534
39,2021-01-21,26816.140625,26816.140625,26066.44181234101,26297.117775732724,2384981
40,2021-01-22,26095.275390625,26844.97420468247,26008.77287000972,26816.14067502269,3793129
41,2021-01-25,25720.42578125,26066.4416558968,25605.087800246376,25951.103674893173,2352740
42,2021-01-26,24538.208984375,25576.25469384892,24105.69058263952,25576.25469384892,3150022
43,2021-01-27,23817.345703125,25028.39839092001,23413.662761617303,24538.20906449244,3604998
44,2021-01-28,22173.775390625,23067.645680436723,22173.775390625,22490.95579398912,4616648
45,2021-01-29,23009.9765625,23557.83291736478,21049.227096323768,21049.227096323768,3443966
46,2021-02-01,22548.625,23644.33772644886,22289.113582778984,23009.976913605464,2649598
47,2021-02-02,22692.796875,23038.812747448377,22231.44495391671,22433.287385208605,4340541
48,2021-02-03,23846.1796875,23932.682203789143,22894.63848686852,23125.314439154023,3175917
49,2021-02-04,23932.68359375,23990.35258517068,23586.669645225964,23875.014602329327,2518404
50,2021-02-05,24105.689453125,24278.69835102132,23817.344509357576,23932.682486864545,2252245
51,2021-02-08,23125.314453125,24221.029090414813,22519.7891121918,24105.689182566537,3283959
52,2021-02-09,23529.0,23759.67595927285,22894.639180363763,23355.993030545364,2484105
53,2021-02-17,24278.69921875,24278.69921875,23557.83393611368,23557.83393611368,2467814
54,2021-02-18,25028.3984375,25086.06742925128,24048.02171445625,24336.36860484863,4012471
55,2021-02-19,25432.080078125,25662.75603332396,24711.21675231033,24797.719269692003,3476549
56,2021-02-22,25230.23828125,25662.75667386156,25201.404751948387,25432.080712904968,2698990
57,2021-02-23,25374.412109375,25432.08110049303,24913.058248794827,25230.23866576196,2672064
58,2021-02-24,24826.5546875,25489.74902338203,24567.04327252655,25316.74205727836,2812519
59,2021-02-25,24768.88671875,25259.07410871365,24336.368319862315,24884.224700901923,2972352
60,2021-02-26,25143.736328125,25201.40531966326,24394.03750649164,24682.382464182945,2408648
61,2021-03-01,25432.080078125,25605.08704452421,25143.735134126306,25143.735134126306,3861041
62,2021-03-02,25403.244140625,25720.42453888224,25287.90616519252,25662.755551166,3642557
63,2021-03-03,25259.07421875,25489.750184058743,25201.405227422816,25403.24573124999,2716140
64,2021-03-04,24653.548828125,25518.585629111843,24394.03740150176,25374.41218506872,3583390
65,2021-03-05,24451.705078125,24970.72597182993,24221.02912536725,24653.54750260596,3185006
66,2021-03-08,24480.5390625,25028.3973579606,24394.03654442213,25028.3973579606,2735860
67,2021-03-09,24134.525390625,24451.70580085993,23932.68296017806,24451.70580085993,4168532
68,2021-03-10,24221.029296875,24336.367274070577,23875.013433652413,24221.029296875,3575673
69,2021-03-11,24970.7265625,25143.7354627966,24538.208175030293,24624.712625178592,2868084
70,2021-03-12,24999.5625,25201.40493310589,24855.389057547804,25086.066951798504,4349802
71,2021-03-15,24797.71875,25143.73460718276,24682.380774817688,25086.065619591605,4767050
72,2021-03-16,24451.705078125,24913.056983640497,24394.03608993556,24797.71900726162,3813537
73,2021-03-17,24970.7265625,25028.39748368946,24192.194237708885,24509.374646071454,7454036
74,2021-03-18,25951.103515625,26124.11048606865,25114.90026102681,25374.411682510254,9717772
75,2021-03-19,25951.103515625,26181.779476216536,25778.09461354544,25951.103515625,4948321
76,2021-03-22,25749.26171875,25951.104155058936,25662.75726557875,25951.104155058936,4395078
77,2021-03-23,25201.404296875,25691.59167087416,24855.38843005237,25662.756210457326,7801828
78,2021-03-24,24307.533203125,24970.72757571893,24163.361689209083,24797.72060003825,6039886
79,2021-03-25,24365.201171875,24768.88602981436,24192.19420345923,24509.37461137276,4062718
80,2021-03-26,24278.69921875,24451.70619119378,23355.99343408057,24192.194766710145,4193227
81,2021-03-29,24538.208984375,24595.87990746662,24307.53301855233,24509.375454465146,2311581
82,2021-03-30,24711.216796875,24826.55477468248,24394.03639208649,24797.71931441268,3951590
83,2021-03-31,24768.88671875,25057.23167412981,24682.382266318087,24768.88671875,3721615
84,2021-04-01,25345.576171875,25374.411632710307,24797.719800727376,24797.719800727376,6356467
85,2021-04-02,25951.103515625,26239.44846636441,25403.24521176624,25605.087643101782,9936601
86,2021-04-05,26268.28125,26470.12367560629,26008.77176751861,26354.78569858437,10237231
87,2021-04-06,26383.62109375,26671.966035595426,25979.936243530552,26181.77866864028,7054967
88,2021-04-07,26268.28125,26383.621158657777,26152.94327297808,26354.78569858437,4474307
89,2021-04-08,25835.763671875,26412.455506511666,25778.094681574923,26354.78651621159,7567053
90,2021-04-09,25547.41796875,25835.762911767044,25403.24453142355,25778.09392316364,7699618
91,2021-04-12,25806.9296875,26124.110094375657,25432.08029134112,25662.756248474005,8830801
92,2021-04-13,25172.568359375,26008.77158434864,25086.065843035693,25951.10259624382,6777488
93,2021-04-14,25374.412109375,25547.419082729088,24797.72026655877,25086.067153784858,4869261
94,2021-04-15,24826.5546875,25489.74902338203,24797.71922733145,25432.080034680806,6354066
95,2021-04-16,24221.029296875,25086.06605747768,24134.52484816039,24711.216665774125,8004192
96,2021-04-19,24797.71875,24855.387737591154,24105.688967270307,24221.02887408845,5477553
97,2021-04-20,24913.05859375,25374.41246071825,24768.88707977665,24855.389601833464,4589381
98,2021-04-22,23644.337890625,24913.057593485355,23644.337890625,24913.057593485355,5024292
99,2021-04-23,24221.029296875,24307.531813953752,23557.833030546648,23644.33747926126,5278962
100,2021-04-26,23355.9921875,24221.028935185182,23355.9921875,24076.85550002571,5707872
101,2021-04-27,23269.48828125,23528.99969791812,23182.98383181533,23355.992730684666,3393031
102,2021-04-28,23413.662109375,23586.66907948736,23269.48866846342,23269.48866846342,2365260
103,2021-04-29,23644.337890625,24163.3607286709,23413.66193222055,23413.66193222055,3342611
104,2021-05-04,23817.345703125,24105.690661344783,23067.6468801176,23067.6468801176,3724703
105,2021-05-05,24163.361328125,24422.87082195007,23932.68343236191,24048.02141442549,4616992
106,2021-05-06,23788.51171875,24163.36112309391,23759.676257660813,24163.36112309391,3851951
107,2021-05-07,23442.49609375,23759.67651093252,23355.99357283219,23413.66256398938,6356639
108,2021-05-10,23875.013671875,23932.6826610482,23269.488319738422,23355.99276931617,5192529
109,2021-05-11,24278.69921875,25086.067021790244,24105.69031467029,24221.030227935407,9173790
110,2021-05-12,24595.87890625,24624.71243498614,24105.68960137688,24221.029511229062,5713361
111,2021-05-13,24567.04296875,25028.396804290936,24221.029040821177,24509.373980761862,5974719
112,2021-05-14,24422.87109375,24797.72050544625,24394.03756373119,24682.38252209909,4672555
113,2021-05-17,24105.689453125,24797.71924980268,24048.020464371515,24509.374306035257,5131820
114,2021-05-18,23586.66796875,24048.01986732375,23528.99898142828,24048.01986732375,6693626
115,2021-05-19,23586.66796875,23875.01290535859,23413.66100678484,23644.33695607172,4925511
116,2021-05-20,24134.525390625,24163.36085138995,23067.646180132204,23586.66902081408,5993755
117,2021-05-21,25806.9296875,25806.9296875,24134.52513501482,24221.029584757594,22341534
118,2021-05-24,26527.79296875,26758.468925442816,26239.448022883986,26239.448022883986,11994543
119,2021-05-25,26931.478515625,27017.981035786408,26210.61323500967,26527.79364941867,10854958
120,2021-05-26,26902.642578125,27162.153997286005,26643.131158963995,26931.478038758843,12638850
121,2021-05-27,26181.779296875,26989.14708505093,25979.93686692205,26989.14708505093,10087859
122,2021-05-28,27190.98828125,27508.168698849404,25893.43501268981,26297.11795132072,13474374
123,2021-05-31,28084.859375,28142.528363835016,27392.82957734396,27565.836543849,9685875
124,2021-06-01,27681.177734375,28257.86764941717,27681.177734375,28171.365127978825,7024612
125,2021-06-02,27335.16015625,27652.34055564485,27219.822180403844,27277.49116832692,10398781
126,2021-06-03,28142.529296875,28546.214163739776,27335.16149478138,27565.83745776929,11516586
127,2021-06-04,28257.8671875,28546.21407194358,27681.177281884688,28084.860215815406,10186126
128,2021-06-07,26989.146484375,28027.19020845945,26297.11669110675,27969.521219990085,9080840
129,2021-06-08,25835.763671875,27219.823302348625,25778.094681574923,27046.8163314484,9750186
130,2021-06-09,26210.61328125,26354.7867239546,25374.41194948956,25951.103788672022,7638909
131,2021-06-10,25316.7421875,26297.11693209946,25316.7421875,26210.61248278473,7688813
132,2021-06-11,26066.44140625,26095.2749354068,25086.06664547264,25374.411595220125,10959055
133,2021-06-14,25893.43359375,26297.11651025941,25749.26015775015,26239.44752218664,5821059
134,2021-06-15,25893.43359375,26037.60509811401,25374.41076945921,25806.92914582292,5585595
135,2021-06-16,26124.109375,26931.47713436861,25489.748578716983,25778.093517192978,7232979
136,2021-06-17,26470.125,26729.63642710152,25720.426180211587,25720.426180211587,6138326
137,2021-06-18,26614.296875,26816.13929880356,26354.78546320054,26671.965862995898,5488187
138,2021-06-21,25951.103515625,26527.79341710384,25864.59906458521,26470.12442695596,7267279
139,2021-06-22,25951.103515625,26210.61300547252,25893.43452547712,26124.11048606865,4822272
140,2021-06-23,26181.779296875,26758.46919440359,25893.434348110703,25893.434348110703,4414628
141,2021-06-24,26066.44140625,26470.12433589648,25951.103426351005,26181.779386148995,3619747
142,2021-06-25,26268.28125,26527.79266411725,25778.09388183891,26008.77176751861,4411369
143,2021-06-28,27046.81640625,27162.15438716913,26325.951128051543,26527.793560477985,11464624
144,2021-06-29,27046.81640625,27623.50631084566,26873.809434871306,27104.48539670957,6766682
145,2021-06-30,27248.658203125,27363.99618135397,27017.98031503117,27046.81577540636,7034388
146,2021-07-01,27277.4921875,27479.33461859016,27017.980766332064,27392.830167655546,7891521
147,2021-07-02,27133.318359375,27537.00321579593,27046.815841310432,27392.82977684047,7210857
148,2021-07-05,26902.642578125,27133.31853665216,26066.44126264609,27133.31853665216,5926014
149,2021-07-06,25374.412109375,28027.19149571215,25374.412109375,27046.816715069723,11669903
150,2021-07-07,26239.44921875,26325.951740634227,25143.736442886013,25662.757369099287,6591587
151,2021-07-08,26412.455078125,26614.297506719515,25922.267702706813,26239.4481100308,3616146
152,2021-07-09,25893.43359375,26527.792462550493,25374.41076945921,26066.440557968315,5746287
153,2021-07-12,24221.029296875,25720.424932053345,24105.689388043564,25720.424932053345,9889268
154,2021-07-13,24451.705078125,24653.54750260596,23961.517712696863,24509.37406631444,3396460
155,2021-07-14,24567.04296875,24624.711956738138,23644.337229303965,24509.373980761862,3067875
156,2021-07-15,24624.712890625,24884.22431223145,24221.02995939845,24249.863488668103,3075251
157,2021-07-16,24509.375,24797.719951931696,24509.375,24682.38197115902,2429056
158,2021-07-19,22865.8046875,24163.35980117288,22865.8046875,23702.00597043692,5053105
159,2021-07-20,23644.337890625,23644.337890625,22433.28717736576,22894.63909417465,4502776
160,2021-07-21,23471.330078125,23875.012990822062,23355.992103068696,23875.012990822062,1985399
161,2021-07-22,23644.337890625,23702.006880226112,23413.66193222055,23413.66193222055,2906670
162,2021-07-23,23182.984375,23932.683182213183,23182.984375,23586.66923963906,2961720
163,2021-07-26,23067.646484375,23269.488917484072,22779.30153110199,23067.646484375,2461126
164,2021-07-27,23182.984375,23529.000249210043,23154.15084560345,23298.32428749396,2450493
165,2021-07-28,23355.9921875,23355.9921875,23067.64531718105,23182.9832926543,2115049
166,2021-07-29,23644.337890625,23644.337890625,23413.66193222055,23528.999911422776,2023470
167,2021-07-30,23702.0078125,23846.18125799152,23615.503358877897,23817.345796238827,3446023
168,2021-08-02,24538.208984375,24768.886881833623,24221.03049718681,24221.03049718681,6539281
169,2021-08-03,24999.5625,24999.5625,24278.69915101087,24394.03713231825,4301955
