Price,Date,Close,High,Low,Open,Volume
0,2020-11-26,41421.66796875,41421.66796875,40804.7491465994,41201.338709997966,1573311
1,2020-11-27,41641.9921875,41641.9921875,41069.14233544081,41421.666812840216,2727313
2,2020-11-30,40981.0078125,41421.66631238304,40320.023940619154,41289.46721124064,3344066
3,2020-12-01,40540.35546875,41069.14414714776,39967.50171347642,39967.50171347642,2618476
4,2020-12-02,41201.33984375,41201.33984375,40320.02666243433,40540.35592724924,1682259
5,2020-12-03,41201.33984375,41377.60403119073,40716.62011468996,41201.33984375,1740948
6,2020-12-04,40143.765625,41201.33909663516,40143.765625,41069.14386690973,1939518
7,2020-12-07,41025.078125,41113.208276721016,40275.960201539856,40275.960201539856,2130023
8,2020-12-08,41025.078125,41377.602609827896,40320.02527740036,40981.00917119565,1854855
9,2020-12-09,42523.3046875,42523.3046875,41069.14172459889,41245.40202170512,2699333
10,2020-12-10,42831.765625,43052.094882246376,42479.2411401721,42523.30621603261,2928362
11,2020-12-11,42831.765625,42875.8307008605,42258.91188292572,42831.765625,3077976
12,2020-12-14,44021.5390625,44021.5390625,42258.91272528185,42831.76647877495,2097628
13,2020-12-15,43096.16015625,43977.47331134368,42523.30641154192,43624.94882489498,3228987
14,2020-12-16,44021.5390625,44021.5390625,43096.16081715206,43404.62023226804,1668721
15,2020-12-17,42302.9765625,43448.68403591578,41862.32193007906,43448.68403591578,5192616
16,2020-12-18,43580.87890625,43580.87890625,42302.97621693017,42302.97621693017,2372751
17,2020-12-21,43580.87890625,43624.94785928152,42875.82994895846,43580.87890625,1660453
18,2020-12-22,43140.2265625,43228.35671734362,42963.96237486879,43184.29163992181,1842508
19,2020-12-23,42963.9609375,43404.61945286372,42699.57048181439,42963.9609375,1501307
20,2020-12-24,42875.83203125,43140.22637256075,42302.97827140071,43140.22637256075,2189207
21,2020-12-25,43008.03125,43008.03125,42611.43779805564,42743.636908018416,865020
22,2020-12-28,43184.2890625,43272.41921208363,42875.82966101352,43184.2890625,1883623
23,2020-12-29,43713.078125,43977.472454169125,43096.15931625331,43184.28946666176,1569165
24,2020-12-30,43140.2265625,43889.34063455871,42963.96237486879,43713.08032487147,1597754
25,2020-12-31,43140.2265625,43624.950170027856,42743.63698775974,43140.2265625,827128
26,2021-01-04,43624.94921875,43977.47370838136,42875.83128508245,43184.29069825287,2045405
27,2021-01-05,43757.14453125,44329.99828221807,43624.94930161609,43624.94930161609,2469693
28,2021-01-06,46268.8828125,46797.66758491855,43757.14254019477,43845.27268927391,4686929
29,2021-01-07,47150.1953125,47811.17923208828,45828.22747332344,45828.22747332344,2703025
30,2021-01-08,46180.75,47590.85181206956,46048.554772904645,47590.85181206956,2254924
31,2021-01-11,46048.5546875,46577.34335078834,45872.29050708928,46092.61976311672,1909106
32,2021-01-12,46533.27734375,46533.27734375,45916.35854157661,46533.27734375,1899080
33,2021-01-13,46180.75,46753.60373996751,45828.22551646856,46533.278361475255,3014828
34,2021-01-14,45784.16015625,46357.01389265759,45519.76582575851,46268.88374180836,2100152
35,2021-01-15,45475.703125,46224.821080167545,45167.24370297666,46180.75212449792,2709334
36,2021-01-18,45519.765625,46268.88353774596,45387.57039930919,45607.899653404325,2506123
37,2021-01-19,43624.94921875,45519.76689628962,42347.04648960735,45431.63674336775,5409481
38,2021-01-20,43669.015625,46665.47581708538,43184.29201328136,43624.950547197215,4715316
39,2021-01-21,45387.5703125,45387.5703125,43184.28940959399,43669.012992087446,2975402
